t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552607215,37,732,32.071090,0,120.367551,0.000000,0.000000,214.000000,732.000000,732.000000,732.000000
1552607225,232,732,12.919311,0,63.749119,0.000000,0.000000,44.000000,145.000000,425.000000,732.000000
1552607235,319,732,15.044864,0,74.635610,0.000000,0.000000,44.000000,145.000000,466.000000,732.000000
1552607245,426,732,18.317197,0,86.556397,0.000000,0.000000,44.000000,356.000000,657.000000,732.000000
1552607255,564,833,15.865518,0,81.713611,0.000000,0.000000,33.000000,214.000000,572.000000,833.000000
1552607265,758,833,11.620623,0,66.890467,0.000000,0.000000,31.000000,100.000000,370.000000,833.000000
1552607275,905,833,12.683595,0,73.284375,0.000000,0.000000,31.000000,100.000000,425.000000,833.000000
1552607285,1020,833,12.231595,0,71.006034,0.000000,0.000000,31.000000,100.000000,370.000000,801.000000
1552607295,1189,833,12.017851,0,68.323216,0.000000,0.000000,31.000000,71.000000,370.000000,801.000000
1552607305,1272,914,14.084313,0,78.863181,0.000000,0.000000,33.000000,111.000000,547.000000,914.000000
1552607315,1421,914,15.109429,0,83.373951,0.000000,0.000000,31.000000,111.000000,572.000000,914.000000
1552607325,1463,2164,19.032814,0,122.936356,0.000000,0.000000,33.000000,267.000000,661.000000,2164.000000
1552607335,1504,2164,22.350431,0,127.984951,0.000000,0.000000,40.000000,327.000000,687.000000,2164.000000
1552607345,1600,2164,26.922446,0,146.666195,0.000000,11.000000,44.000000,547.000000,759.000000,2164.000000
1552607355,1749,2164,23.561900,0,134.000444,0.000000,0.000000,40.000000,327.000000,687.000000,2164.000000
1552607365,1822,2164,21.649983,0,127.193558,0.000000,0.000000,33.000000,327.000000,672.000000,2164.000000
1552607375,1822,2164,21.649983,0,127.193558,0.000000,0.000000,33.000000,327.000000,672.000000,2164.000000
1552607385,1955,2222,22.547429,0,145.556726,0.000000,0.000000,33.000000,327.000000,697.000000,2222.000000
1552607395,1999,2222,23.236502,0,137.259338,0.000000,0.000000,33.000000,330.000000,680.000000,2222.000000
1552607405,2131,2222,21.691502,0,127.183350,0.000000,11.000000,33.000000,291.000000,680.000000,2222.000000
1552607415,2279,2222,21.361065,0,115.327513,0.000000,11.000000,44.000000,267.000000,618.000000,2222.000000
1552607425,2520,2222,16.402232,0,96.047499,0.000000,11.000000,33.000000,220.000000,327.000000,878.000000
1552607435,2705,2222,13.776884,0,84.824525,0.000000,11.000000,33.000000,114.000000,279.000000,864.000000
1552607445,2837,2222,14.272661,0,81.378408,0.000000,11.000000,33.000000,144.000000,307.000000,864.000000
1552607455,2984,2222,15.447990,0,80.014146,0.000000,11.000000,35.000000,189.000000,327.000000,864.000000
1552607465,3133,864,16.363979,0,69.591869,0.000000,11.000000,33.000000,259.000000,354.000000,721.000000
1552607477,3172,864,18.209199,0,71.861607,0.000000,11.000000,56.000000,274.000000,378.000000,721.000000
1552607485,3172,864,18.209199,0,71.861607,0.000000,11.000000,56.000000,274.000000,378.000000,721.000000
1552607495,3172,864,18.209199,0,71.861607,0.000000,11.000000,56.000000,274.000000,378.000000,721.000000
1552607505,3172,864,18.209199,0,71.861607,0.000000,11.000000,56.000000,274.000000,378.000000,721.000000
1552607515,3172,864,18.209199,0,71.861607,0.000000,11.000000,56.000000,274.000000,378.000000,721.000000
1552607525,3172,864,18.209199,0,71.861607,0.000000,11.000000,56.000000,274.000000,378.000000,721.000000
1552607535,3172,864,18.209199,0,71.861607,0.000000,11.000000,56.000000,274.000000,378.000000,721.000000
1552607545,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607555,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607565,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607575,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607585,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607595,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607605,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607615,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607625,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607635,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
1552607645,3188,864,21.392623,0,88.478171,0.000000,11.000000,56.000000,307.000000,600.000000,802.000000
