t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552608243,1,159,159.000000,159,0.000000,159.000000,159.000000,159.000000,159.000000,159.000000,159.000000
1552608253,2,952,594.036714,159,394.622822,952.000000,952.000000,952.000000,952.000000,952.000000,952.000000
1552608263,3,952,385.503787,68,400.254132,159.000000,952.000000,952.000000,952.000000,952.000000,952.000000
1552608273,3,952,385.503787,68,400.254132,159.000000,952.000000,952.000000,952.000000,952.000000,952.000000
1552608283,3,952,385.503787,68,400.254132,159.000000,952.000000,952.000000,952.000000,952.000000,952.000000
1552608293,3,952,385.503787,68,400.254132,159.000000,952.000000,952.000000,952.000000,952.000000,952.000000
1552608303,3,952,385.503787,68,400.254132,159.000000,952.000000,952.000000,952.000000,952.000000,952.000000
1552608313,3,952,385.503787,68,400.254132,159.000000,952.000000,952.000000,952.000000,952.000000,952.000000
1552608323,3,952,385.503787,68,400.254132,159.000000,952.000000,952.000000,952.000000,952.000000,952.000000
1552608333,5,952,384.716739,56,359.257527,159.000000,733.000000,952.000000,952.000000,952.000000,952.000000
1552608343,5,952,384.716739,56,359.257527,159.000000,733.000000,952.000000,952.000000,952.000000,952.000000
1552608353,5,952,384.716739,56,359.257527,159.000000,733.000000,952.000000,952.000000,952.000000,952.000000
1552608363,5,952,384.716739,56,359.257527,159.000000,733.000000,952.000000,952.000000,952.000000,952.000000
1552608373,5,952,384.716739,56,359.257527,159.000000,733.000000,952.000000,952.000000,952.000000,952.000000
1552608383,6,952,617.599984,56,379.489807,733.000000,922.000000,952.000000,952.000000,952.000000,952.000000
1552608393,7,952,646.723098,56,316.961712,710.000000,922.000000,922.000000,952.000000,952.000000,952.000000
1552608403,8,952,588.583967,56,290.695113,710.000000,922.000000,922.000000,952.000000,952.000000,952.000000
1552608413,9,952,519.111788,56,280.239349,420.000000,733.000000,922.000000,952.000000,952.000000,952.000000
1552608423,10,952,433.666205,56,295.356769,306.000000,710.000000,922.000000,922.000000,952.000000,952.000000
1552608433,11,952,534.007889,56,326.476275,420.000000,910.000000,922.000000,922.000000,952.000000,952.000000
1552608443,11,952,534.007889,56,326.476275,420.000000,910.000000,922.000000,922.000000,952.000000,952.000000
1552608453,12,952,440.568675,56,338.277257,306.000000,910.000000,922.000000,922.000000,952.000000,952.000000
1552608463,13,952,529.969166,56,355.637037,420.000000,909.000000,922.000000,922.000000,922.000000,952.000000
1552608473,14,952,522.809276,56,321.663533,491.000000,909.000000,922.000000,922.000000,922.000000,952.000000
1552608483,15,952,586.608865,56,323.799530,710.000000,909.000000,910.000000,922.000000,922.000000,952.000000
1552608493,16,952,495.653812,56,350.056552,491.000000,890.000000,910.000000,922.000000,922.000000,952.000000
1552608503,16,952,495.653812,56,350.056552,491.000000,890.000000,910.000000,922.000000,922.000000,952.000000
