t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552650775,116,50,10.060206,1,6.584665,10.000000,14.000000,18.000000,27.000000,29.000000,50.000000
1552650785,271,54,9.928778,1,6.358477,10.000000,14.000000,17.000000,19.000000,31.000000,54.000000
1552650795,417,54,9.707255,1,5.681954,9.000000,13.000000,17.000000,18.000000,27.000000,54.000000
1552650805,599,54,9.623588,1,5.572105,9.000000,13.000000,17.000000,18.000000,24.000000,54.000000
1552650815,753,54,9.515580,1,5.348597,9.000000,13.000000,17.000000,18.000000,23.000000,54.000000
1552650825,917,54,9.566053,1,5.373188,9.000000,13.000000,17.000000,18.000000,23.000000,50.000000
1552650835,972,54,9.609388,1,5.280395,9.000000,13.000000,17.000000,18.000000,23.000000,50.000000
1552650845,1107,54,9.491985,1,5.129371,9.000000,13.000000,17.000000,18.000000,22.000000,33.000000
1552650855,1184,54,9.528469,1,5.018828,9.000000,13.000000,17.000000,18.000000,21.000000,33.000000
1552650865,1356,57,9.955075,1,5.928534,10.000000,13.000000,17.000000,18.000000,31.000000,57.000000
1552650875,1448,57,9.819655,1,5.783338,9.000000,13.000000,17.000000,18.000000,29.000000,57.000000
1552650885,1483,57,9.791487,1,5.851586,9.000000,13.000000,17.000000,18.000000,31.000000,57.000000
1552650895,1601,57,9.770957,1,5.736242,9.000000,13.000000,17.000000,18.000000,29.000000,57.000000
1552650905,1786,57,9.974791,1,5.895913,10.000000,14.000000,17.000000,18.000000,31.000000,57.000000
1552650915,1930,57,10.129774,1,5.811022,10.000000,14.000000,17.000000,18.000000,31.000000,54.000000
1552650925,2089,44,10.136758,1,5.704015,10.000000,14.000000,17.000000,18.000000,31.000000,43.000000
1552650935,2185,44,10.235422,1,5.730059,10.000000,14.000000,17.000000,18.000000,31.000000,43.000000
1552650945,2245,45,10.348337,1,6.004095,10.000000,14.000000,17.000000,25.000000,36.000000,45.000000
1552650955,2428,45,10.064000,1,5.859881,10.000000,14.000000,17.000000,18.000000,33.000000,45.000000
1552650965,2562,44,9.842424,1,5.664913,10.000000,14.000000,17.000000,18.000000,26.000000,40.000000
1552650975,2750,44,9.958896,1,5.695037,10.000000,14.000000,17.000000,20.000000,32.000000,40.000000
1552650985,2859,44,10.078493,1,5.684234,10.000000,14.000000,17.000000,20.000000,32.000000,40.000000
1552650995,3076,41,10.201433,1,5.689359,10.000000,14.000000,17.000000,22.000000,30.000000,41.000000
1552651005,3183,41,10.254666,1,5.675000,10.000000,14.000000,18.000000,24.000000,31.000000,41.000000
1552651015,3278,41,10.120429,1,5.686374,10.000000,14.000000,18.000000,22.000000,31.000000,41.000000
1552651025,3278,41,10.120429,1,5.686374,10.000000,14.000000,18.000000,22.000000,31.000000,41.000000
1552651035,3278,41,10.120429,1,5.686374,10.000000,14.000000,18.000000,22.000000,31.000000,41.000000
1552651045,3278,41,10.120429,1,5.686374,10.000000,14.000000,18.000000,22.000000,31.000000,41.000000
