t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552650777,124,1513,17.428896,0,135.365270,0.000000,0.000000,47.000000,56.000000,87.000000,1513.000000
1552650787,220,1513,23.841917,0,152.405891,0.000000,0.000000,52.000000,194.000000,622.000000,1513.000000
1552650797,341,1548,25.022122,0,155.837119,0.000000,0.000000,47.000000,303.000000,768.000000,1548.000000
1552650807,416,1548,29.941211,0,156.130705,0.000000,0.000000,52.000000,622.000000,910.000000,1548.000000
1552650817,529,1548,27.162719,0,143.145050,0.000000,0.000000,50.000000,333.000000,768.000000,1548.000000
1552650827,653,1548,27.422717,0,146.362266,0.000000,0.000000,47.000000,425.000000,768.000000,1548.000000
1552650837,858,1548,20.596199,0,122.065533,0.000000,1.000000,33.000000,303.000000,631.000000,1513.000000
1552650847,978,1548,18.928350,0,113.153156,0.000000,0.000000,33.000000,303.000000,622.000000,1513.000000
1552650857,1161,1548,16.257596,0,100.173800,0.000000,0.000000,31.000000,224.000000,562.000000,1500.000000
1552650867,1233,1548,18.714713,0,107.032755,0.000000,0.000000,33.000000,323.000000,631.000000,1409.000000
1552650877,1425,1112,15.032524,0,87.498937,0.000000,0.000000,31.000000,194.000000,553.000000,1112.000000
1552650887,1635,1112,11.767819,0,74.817111,0.000000,0.000000,25.000000,56.000000,385.000000,1112.000000
1552650897,1747,1112,11.487214,0,72.481327,0.000000,0.000000,22.000000,63.000000,333.000000,1112.000000
1552650907,1837,2173,15.935640,0,114.441127,0.000000,0.000000,31.000000,148.000000,516.000000,2173.000000
1552650917,1949,2173,15.110987,0,112.512369,0.000000,0.000000,22.000000,148.000000,488.000000,2173.000000
1552650927,2036,2173,15.991577,0,113.521825,0.000000,0.000000,31.000000,100.000000,516.000000,2173.000000
1552650937,2260,3118,14.165329,0,138.308398,0.000000,0.000000,22.000000,47.000000,286.000000,3118.000000
1552650947,2399,960,7.373599,0,43.728973,0.000000,0.000000,22.000000,47.000000,189.000000,960.000000
1552650957,2483,960,9.051094,0,46.612953,0.000000,11.000000,31.000000,73.000000,219.000000,631.000000
1552650967,2614,960,10.821537,0,55.666422,0.000000,11.000000,31.000000,100.000000,313.000000,728.000000
1552650977,2677,2091,15.245536,0,108.744944,0.000000,11.000000,33.000000,189.000000,330.000000,2091.000000
1552650987,2787,2091,18.592422,0,127.623596,0.000000,11.000000,31.000000,200.000000,437.000000,2091.000000
1552650997,2855,3220,23.934359,0,186.234951,0.000000,11.000000,33.000000,258.000000,437.000000,3220.000000
1552651007,2990,3220,19.969402,0,166.940516,0.000000,11.000000,33.000000,111.000000,324.000000,3220.000000
1552651017,3090,3220,20.142053,0,156.541118,0.000000,11.000000,44.000000,111.000000,292.000000,3220.000000
1552651027,3092,3220,22.664600,0,165.197603,0.000000,11.000000,44.000000,149.000000,437.000000,3220.000000
1552651037,3095,3220,22.636362,0,164.666248,0.000000,11.000000,44.000000,149.000000,359.000000,3220.000000
1552651047,3098,3220,23.475922,0,164.285089,0.000000,11.000000,47.000000,178.000000,359.000000,3220.000000
