t,value
1552650707,0.0
1552650717,0.0
1552650727,0.0
1552650737,8.389261744966443E-4
1552650747,0.0013404825737265416
1552650757,0.0011160714285714285
1552650767,0.0011950286806883365
1552650777,0.001254180602006689
1552650787,0.001300148588410104
1552650797,0.001336898395721925
1552650807,0.001215066828675577
1552650817,0.0011135857461024498
1552650827,0.0010277492291880781
1552650837,9.541984732824427E-4
1552650847,8.904719501335708E-4
1552650857,8.347245409015025E-4
1552650867,9.819324430479183E-4
1552650877,9.27299703264095E-4
1552650887,8.784258608573436E-4
1552650897,8.344459279038719E-4
1552650907,7.946598855689765E-4
1552650917,8.343446601941747E-4
1552650927,9.431224608241439E-4
1552650937,9.03781979977753E-4
1552650947,9.342676009342676E-4
1552650957,9.624639076034649E-4
1552650967,0.0010503552672227372
1552650977,0.001012809055704498
1552650987,0.0010353753235547887
1552650997,0.00105643591882124
1552651007,0.0010761366693570083
1552651017,0.00109460516028147
1552651027,0.0010614101592115238
1552651037,0.0010301692420897719
1552651047,0.0010483678818203478
