t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1552607215,14,1.485318,1.400000,1.400000,1.400000,events/second
1552607225,26,1.340167,1.382730,1.396640,1.398886,events/second
1552607235,36,1.225463,1.353399,1.390138,1.396682,events/second
1552607245,48,1.218226,1.332407,1.384014,1.394521,events/second
1552607255,58,1.174034,1.281376,1.371425,1.390162,events/second
1552607265,68,1.145386,1.238180,1.359248,1.385851,events/second
1552607275,78,1.124461,1.201615,1.347470,1.381587,events/second
1552607285,88,1.108531,1.170663,1.336079,1.377371,events/second
1552607295,98,1.096515,1.144463,1.325061,1.373201,events/second
1552607305,112,1.126952,1.122286,1.314404,1.369077,events/second
1552607315,122,1.115381,1.162363,1.317101,1.369407,events/second
1552607325,132,1.105861,1.137437,1.306705,1.365325,events/second
1552607335,142,1.097610,1.116338,1.296650,1.361288,events/second
1552607345,152,1.090679,1.098478,1.286925,1.357296,events/second
1552607355,161,1.077914,1.083360,1.277518,1.353348,events/second
1552607365,175,1.098115,1.087832,1.271781,1.350558,events/second
1552607375,186,1.098181,1.121043,1.272733,1.350002,events/second
1552607385,198,1.103907,1.102461,1.263792,1.346135,events/second
1552607395,210,1.108985,1.100165,1.258340,1.343406,events/second
1552607405,222,1.113549,1.128926,1.259624,1.342917,events/second
1552607415,234,1.117674,1.171819,1.264281,1.343554,events/second
1552607425,245,1.116865,1.145442,1.255617,1.339758,events/second
1552607435,257,1.120313,1.169809,1.257099,1.339322,events/second
1552607445,269,1.123784,1.159731,1.251976,1.336680,events/second
1552607455,281,1.126844,1.181904,1.253578,1.336278,events/second
1552607465,291,1.121951,1.137987,1.241959,1.331454,events/second
1552607477,317,1.146225,1.178905,1.245484,1.330739,events/second
1552607485,321,1.148532,1.178905,1.245484,1.330739,events/second
1552607495,332,1.147337,1.242272,1.257052,1.333708,events/second
1552607505,342,1.142341,1.205079,1.248625,1.330020,events/second
1552607515,352,1.137811,1.173596,1.240474,1.326374,events/second
1552607525,362,1.133391,1.146945,1.232590,1.322767,events/second
1552607535,372,1.129441,1.124387,1.224965,1.319201,events/second
1552607545,383,1.128460,1.105291,1.217590,1.315674,events/second
1552607555,396,1.133497,1.149256,1.223515,1.316600,events/second
1552607565,406,1.129678,1.126342,1.216188,1.313101,events/second
1552607575,416,1.126237,1.106946,1.209100,1.309642,events/second
1552607585,426,1.122541,1.090528,1.202245,1.306220,events/second
1552607595,436,1.119753,1.076630,1.195615,1.302837,events/second
1552607605,449,1.124285,1.114118,1.199173,1.302821,events/second
1552607615,459,1.121256,1.096599,1.192644,1.299475,events/second
1552607625,469,1.118363,1.081769,1.186328,1.296165,events/second
1552607635,479,1.115599,1.069216,1.180220,1.292893,events/second
1552607645,490,1.115251,1.090572,1.180923,1.291873,events/second
