t,count
1552607215,197
1552607225,397
1552607235,628
1552607245,827
1552607255,995
1552607265,1115
1552607275,1318
1552607285,1553
1552607295,1791
1552607305,2018
1552607315,2259
1552607325,2477
1552607335,2651
1552607345,2791
1552607355,2956
1552607365,3160
1552607375,3379
1552607385,3596
1552607395,3743
1552607405,3873
1552607415,4015
1552607425,4213
1552607435,4352
1552607445,4496
1552607455,4644
1552607465,4781
1552607477,4815
1552607485,4819
1552607495,4829
1552607505,4904
1552607515,5007
1552607525,5113
1552607535,5151
1552607545,5178
1552607555,5188
1552607565,5198
1552607575,5208
1552607585,5218
1552607595,5228
1552607605,5238
1552607615,5248
1552607625,5258
1552607635,5268
1552607645,5278
