t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552651222,124,101,46.210103,16,18.737458,34.000000,66.000000,68.000000,83.000000,83.000000,101.000000
1552651232,250,101,42.627115,3,16.824529,33.000000,65.000000,67.000000,82.000000,83.000000,101.000000
1552651242,399,101,41.657679,3,16.443226,33.000000,50.000000,67.000000,80.000000,83.000000,101.000000
1552651252,524,101,41.066734,3,16.035042,33.000000,50.000000,67.000000,83.000000,83.000000,101.000000
1552651262,665,117,41.418441,3,16.502349,34.000000,50.000000,67.000000,83.000000,83.000000,117.000000
1552651272,808,117,40.870605,3,16.551858,33.000000,50.000000,67.000000,83.000000,83.000000,117.000000
1552651282,919,117,40.602244,3,16.330414,33.000000,50.000000,67.000000,83.000000,83.000000,117.000000
1552651292,1044,117,40.462934,3,16.112422,33.000000,50.000000,67.000000,82.000000,83.000000,101.000000
1552651302,1221,117,40.137933,3,16.074001,33.000000,50.000000,67.000000,82.000000,83.000000,100.000000
1552651312,1386,99,39.628795,3,15.885772,33.000000,50.000000,67.000000,82.000000,83.000000,86.000000
1552651322,1536,99,39.028205,4,15.887698,33.000000,50.000000,67.000000,82.000000,83.000000,86.000000
1552651332,1634,99,38.940259,4,15.665816,33.000000,50.000000,67.000000,82.000000,83.000000,86.000000
1552651342,1809,99,37.793869,4,15.159969,33.000000,50.000000,67.000000,70.000000,83.000000,85.000000
1552651352,1965,100,37.921123,8,15.116063,33.000000,50.000000,67.000000,70.000000,83.000000,100.000000
1552651362,2128,100,38.150336,8,15.346256,33.000000,50.000000,67.000000,67.000000,83.000000,100.000000
1552651372,2345,99,38.272025,8,15.466896,34.000000,50.000000,67.000000,67.000000,83.000000,98.000000
1552651382,2556,99,38.124680,8,15.222999,34.000000,50.000000,67.000000,67.000000,81.000000,98.000000
1552651392,2745,99,38.144373,8,15.006456,34.000000,50.000000,67.000000,68.000000,83.000000,98.000000
1552651402,2983,100,38.057360,8,15.769926,34.000000,50.000000,67.000000,71.000000,84.000000,100.000000
1552651412,3248,100,37.739509,8,16.160877,34.000000,50.000000,67.000000,69.000000,84.000000,100.000000
