t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552609708,1,10,10.000000,10,0.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1552609718,2,10,6.708423,4,2.985797,4.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1552609728,2,10,6.708423,4,2.985797,4.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1552609738,3,13,9.202548,4,3.853855,10.000000,13.000000,13.000000,13.000000,13.000000,13.000000
1552609748,3,13,9.202548,4,3.853855,10.000000,13.000000,13.000000,13.000000,13.000000,13.000000
1552609758,3,13,9.202548,4,3.853855,10.000000,13.000000,13.000000,13.000000,13.000000,13.000000
1552609768,3,13,9.202548,4,3.853855,10.000000,13.000000,13.000000,13.000000,13.000000,13.000000
1552609778,3,13,9.202548,4,3.853855,10.000000,13.000000,13.000000,13.000000,13.000000,13.000000
1552609788,3,13,9.202548,4,3.853855,10.000000,13.000000,13.000000,13.000000,13.000000,13.000000
1552609798,4,13,8.049153,4,2.878320,7.000000,10.000000,13.000000,13.000000,13.000000,13.000000
1552609808,4,13,8.049153,4,2.878320,7.000000,10.000000,13.000000,13.000000,13.000000,13.000000
1552609818,4,13,8.049153,4,2.878320,7.000000,10.000000,13.000000,13.000000,13.000000,13.000000
1552609828,4,13,8.049153,4,2.878320,7.000000,10.000000,13.000000,13.000000,13.000000,13.000000
1552609838,4,13,8.049153,4,2.878320,7.000000,10.000000,13.000000,13.000000,13.000000,13.000000
1552609848,4,13,8.049153,4,2.878320,7.000000,10.000000,13.000000,13.000000,13.000000,13.000000
1552609858,6,16,13.268890,4,3.769877,15.000000,16.000000,16.000000,16.000000,16.000000,16.000000
1552609868,7,16,12.342357,4,3.514827,15.000000,15.000000,16.000000,16.000000,16.000000,16.000000
1552609878,8,17,13.576074,4,3.647716,15.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552609888,9,17,14.372608,4,3.507592,16.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552609898,9,17,14.372608,4,3.507592,16.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552609908,10,17,13.611717,4,3.393335,15.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552609918,11,17,13.473781,4,2.997268,13.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552609928,12,17,12.403499,4,3.455437,13.000000,16.000000,17.000000,17.000000,17.000000,17.000000
