t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552649789,24,13,8.062200,2,3.303396,8.000000,11.000000,13.000000,13.000000,13.000000,13.000000
1552649799,257,30,9.223087,1,4.989498,9.000000,13.000000,17.000000,18.000000,18.000000,30.000000
1552649809,378,40,9.467136,1,5.252201,9.000000,13.000000,17.000000,18.000000,19.000000,40.000000
1552649819,555,40,9.560660,1,5.085112,9.000000,13.000000,17.000000,18.000000,18.000000,40.000000
1552649829,680,40,9.659239,1,5.101690,10.000000,14.000000,17.000000,18.000000,18.000000,40.000000
1552649839,914,46,9.788200,1,5.287708,10.000000,14.000000,17.000000,18.000000,18.000000,46.000000
1552649849,1065,46,9.779229,1,5.166769,10.000000,14.000000,17.000000,18.000000,18.000000,46.000000
1552649859,1197,46,9.749262,1,5.328229,10.000000,14.000000,17.000000,18.000000,18.000000,43.000000
1552649869,1300,46,9.799351,1,5.283703,10.000000,14.000000,17.000000,18.000000,18.000000,43.000000
1552649879,1454,46,9.815120,1,5.057331,10.000000,14.000000,17.000000,18.000000,18.000000,31.000000
1552649889,1593,46,9.731796,1,5.105981,10.000000,14.000000,17.000000,18.000000,18.000000,31.000000
1552649899,1724,46,9.533111,1,5.034594,10.000000,14.000000,17.000000,18.000000,18.000000,31.000000
1552649909,1757,46,9.472641,1,5.049103,9.000000,13.000000,17.000000,18.000000,18.000000,31.000000
1552649919,1945,46,9.447821,1,5.025168,10.000000,13.000000,17.000000,18.000000,18.000000,29.000000
1552649929,2055,46,9.631657,1,5.239516,10.000000,14.000000,18.000000,18.000000,20.000000,31.000000
1552649939,2225,49,9.860864,1,5.989504,10.000000,14.000000,17.000000,19.000000,29.000000,49.000000
1552649949,2450,49,9.814952,1,6.109032,9.000000,13.000000,17.000000,27.000000,32.000000,49.000000
1552649959,2673,47,9.840310,1,5.900115,9.000000,13.000000,17.000000,25.000000,31.000000,47.000000
1552649969,2840,47,9.709040,1,5.725912,9.000000,13.000000,17.000000,20.000000,31.000000,44.000000
1552649979,3085,80,10.134775,1,7.111683,9.000000,14.000000,17.000000,28.000000,42.000000,80.000000
1552649989,3248,68,9.790146,1,6.296608,9.000000,14.000000,17.000000,25.000000,38.000000,68.000000
1552649999,3420,68,9.648480,1,6.078089,9.000000,13.000000,17.000000,20.000000,33.000000,68.000000
1552650009,3620,68,9.813680,1,6.068972,9.000000,13.000000,17.000000,22.000000,33.000000,68.000000
1552650019,3833,68,9.928148,1,6.141772,9.000000,13.000000,17.000000,25.000000,33.000000,47.000000
1552650029,4079,68,10.010153,1,6.222496,9.000000,13.000000,18.000000,28.000000,33.000000,47.000000
1552650039,4259,44,10.093372,1,5.938758,9.000000,13.000000,18.000000,25.000000,32.000000,44.000000
1552650049,4486,44,10.380646,1,6.099768,10.000000,14.000000,18.000000,27.000000,32.000000,44.000000
1552650059,4666,66,10.847407,1,6.783972,10.000000,14.000000,18.000000,29.000000,37.000000,66.000000
1552650069,4794,66,10.783711,1,6.647411,11.000000,15.000000,18.000000,27.000000,35.000000,66.000000
1552650079,4866,77,11.135661,1,7.757012,11.000000,15.000000,19.000000,32.000000,43.000000,77.000000
1552650089,4882,77,11.153589,1,7.709819,11.000000,15.000000,19.000000,32.000000,43.000000,77.000000
1552650099,4904,77,11.211904,1,7.566904,11.000000,15.000000,18.000000,30.000000,43.000000,77.000000
1552650109,4922,77,11.170876,1,7.501088,11.000000,15.000000,18.000000,29.000000,43.000000,77.000000
1552650119,4940,77,11.338736,1,7.436607,11.000000,15.000000,19.000000,29.000000,43.000000,77.000000
1552650129,4944,77,11.347350,1,7.403103,11.000000,15.000000,18.000000,29.000000,43.000000,77.000000
1552650139,4947,77,11.298383,1,7.323654,11.000000,15.000000,18.000000,28.000000,43.000000,77.000000
1552650149,4948,77,11.327136,1,7.317770,11.000000,15.000000,18.000000,28.000000,43.000000,77.000000
1552650159,4949,77,11.314857,1,7.304994,11.000000,15.000000,18.000000,28.000000,43.000000,77.000000
1552650169,4950,77,11.361444,1,7.294341,11.000000,15.000000,18.000000,28.000000,42.000000,77.000000
1552650179,4951,77,11.277055,1,7.294431,11.000000,15.000000,18.000000,27.000000,42.000000,77.000000
1552650189,4952,77,11.224562,1,7.282645,11.000000,15.000000,18.000000,27.000000,42.000000,77.000000
1552650199,4952,77,11.224562,1,7.282645,11.000000,15.000000,18.000000,27.000000,42.000000,77.000000
1552650209,4953,77,11.175842,1,7.258805,11.000000,15.000000,18.000000,27.000000,42.000000,77.000000
1552650219,4953,77,11.175842,1,7.258805,11.000000,15.000000,18.000000,27.000000,42.000000,77.000000
1552650229,4954,77,11.314531,1,7.286349,11.000000,15.000000,20.000000,27.000000,41.000000,77.000000
1552650239,4954,77,11.314531,1,7.286349,11.000000,15.000000,20.000000,27.000000,41.000000,77.000000
1552650249,4954,77,11.314531,1,7.286349,11.000000,15.000000,20.000000,27.000000,41.000000,77.000000
1552650259,4954,77,11.314531,1,7.286349,11.000000,15.000000,20.000000,27.000000,41.000000,77.000000
1552650269,4954,77,11.314531,1,7.286349,11.000000,15.000000,20.000000,27.000000,41.000000,77.000000
1552650279,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650289,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650299,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650309,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650319,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650329,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650339,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650349,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650359,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650369,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650379,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650389,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650399,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650409,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650419,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650429,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650439,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650449,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650459,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650469,4955,77,11.153059,1,7.235610,11.000000,15.000000,19.000000,26.000000,41.000000,77.000000
1552650479,4956,77,14.177146,1,6.839075,16.000000,19.000000,19.000000,20.000000,29.000000,66.000000
1552650489,4956,77,14.177146,1,6.839075,16.000000,19.000000,19.000000,20.000000,29.000000,66.000000
