t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552610416,125,109,45.271947,8,20.282730,34.000000,66.000000,83.000000,100.000000,100.000000,109.000000
1552610426,268,109,46.191756,8,19.804706,34.000000,66.000000,83.000000,90.000000,100.000000,109.000000
1552610436,328,109,44.886095,4,19.847463,34.000000,66.000000,83.000000,90.000000,100.000000,109.000000
1552610446,443,110,45.421300,4,20.120036,34.000000,66.000000,83.000000,88.000000,100.000000,110.000000
1552610456,474,124,45.772672,4,20.473383,34.000000,66.000000,83.000000,96.000000,104.000000,124.000000
1552610466,557,124,44.413663,4,20.029663,34.000000,66.000000,82.000000,100.000000,104.000000,124.000000
1552610476,659,124,44.837162,4,20.184936,34.000000,66.000000,83.000000,90.000000,103.000000,124.000000
1552610486,806,124,43.650138,2,19.636407,34.000000,61.000000,83.000000,90.000000,101.000000,124.000000
1552610496,880,124,43.102825,1,19.770140,34.000000,57.000000,83.000000,91.000000,100.000000,124.000000
1552610506,908,124,43.281130,1,19.723831,34.000000,58.000000,83.000000,91.000000,100.000000,124.000000
1552610516,993,124,42.944071,1,19.830910,34.000000,54.000000,83.000000,91.000000,100.000000,118.000000
1552610526,1039,124,43.279967,1,19.962563,34.000000,60.000000,83.000000,90.000000,100.000000,118.000000
1552610536,1122,124,43.057633,1,20.034033,34.000000,53.000000,83.000000,93.000000,98.000000,118.000000
1552610546,1207,118,42.372851,1,19.982508,34.000000,51.000000,83.000000,91.000000,97.000000,105.000000
1552610556,1293,118,43.108162,1,20.362150,34.000000,53.000000,83.000000,96.000000,100.000000,118.000000
1552610566,1351,118,42.356310,1,20.242758,34.000000,51.000000,83.000000,93.000000,100.000000,118.000000
1552610576,1434,118,41.556835,1,20.469179,34.000000,50.000000,83.000000,96.000000,100.000000,118.000000
1552610586,1612,118,40.099086,1,19.676791,34.000000,50.000000,71.000000,91.000000,98.000000,118.000000
1552610596,1707,118,39.764064,1,19.545489,34.000000,50.000000,73.000000,85.000000,98.000000,118.000000
1552610606,1711,118,39.800198,1,19.607233,34.000000,50.000000,73.000000,84.000000,98.000000,118.000000
1552610616,1713,118,39.897820,1,19.615569,34.000000,50.000000,73.000000,84.000000,98.000000,118.000000
1552610626,1714,118,40.060005,1,19.758745,34.000000,50.000000,74.000000,88.000000,98.000000,118.000000
1552610636,1737,118,40.053148,1,19.876145,34.000000,50.000000,75.000000,87.000000,98.000000,118.000000
1552610646,1797,119,39.638917,1,20.606188,34.000000,50.000000,78.000000,92.000000,101.000000,119.000000
1552610656,1864,119,39.612324,1,20.501833,34.000000,50.000000,74.000000,91.000000,100.000000,119.000000
1552610666,1995,144,40.497266,1,22.813632,34.000000,50.000000,83.000000,100.000000,108.000000,144.000000
1552610676,2033,144,39.952794,1,22.440209,34.000000,50.000000,83.000000,100.000000,108.000000,144.000000
1552610686,2206,144,40.159728,1,23.521434,34.000000,50.000000,83.000000,101.000000,116.000000,144.000000
1552610696,2232,433,48.831194,1,53.216878,34.000000,52.000000,112.000000,200.000000,383.000000,433.000000
