t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552648604,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552648614,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552648624,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552648634,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552648644,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552648654,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552648664,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552648674,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552648684,1,15,15.000000,15,0.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552648694,2,15,13.479154,13,0.853651,13.000000,13.000000,15.000000,15.000000,15.000000,15.000000
1552648704,2,15,13.479154,13,0.853651,13.000000,13.000000,15.000000,15.000000,15.000000,15.000000
1552648714,2,15,13.479154,13,0.853651,13.000000,13.000000,15.000000,15.000000,15.000000,15.000000
1552648724,2,15,13.479154,13,0.853651,13.000000,13.000000,15.000000,15.000000,15.000000,15.000000
1552648734,2,15,13.479154,13,0.853651,13.000000,13.000000,15.000000,15.000000,15.000000,15.000000
1552648744,3,17,15.712762,13,1.772458,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552648754,3,17,15.712762,13,1.772458,17.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552648764,4,17,15.835695,13,1.348054,16.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552648774,4,17,15.835695,13,1.348054,16.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552648784,4,17,15.835695,13,1.348054,16.000000,17.000000,17.000000,17.000000,17.000000,17.000000
1552648794,5,17,13.278781,10,3.066689,13.000000,16.000000,17.000000,17.000000,17.000000,17.000000
1552648804,5,17,13.278781,10,3.066689,13.000000,16.000000,17.000000,17.000000,17.000000,17.000000
1552648814,5,17,13.278781,10,3.066689,13.000000,16.000000,17.000000,17.000000,17.000000,17.000000
1552648824,6,17,12.423900,10,2.663406,11.000000,16.000000,17.000000,17.000000,17.000000,17.000000
1552648834,6,17,12.423900,10,2.663406,11.000000,16.000000,17.000000,17.000000,17.000000,17.000000
1552648844,6,17,12.423900,10,2.663406,11.000000,16.000000,17.000000,17.000000,17.000000,17.000000
1552648854,7,57,30.201214,10,21.924305,16.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1552648864,7,57,30.201214,10,21.924305,16.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1552648874,7,57,30.201214,10,21.924305,16.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1552648884,7,57,30.201214,10,21.924305,16.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1552648894,7,57,30.201214,10,21.924305,16.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1552648904,7,57,30.201214,10,21.924305,16.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1552648914,7,57,30.201214,10,21.924305,16.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1552648924,7,57,30.201214,10,21.924305,16.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1552648934,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552648944,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552648954,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552648964,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552648974,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552648984,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552648994,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552649004,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552649014,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552649024,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552649034,8,57,30.647464,10,14.570467,31.000000,31.000000,57.000000,57.000000,57.000000,57.000000
1552649044,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649054,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649064,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649074,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649084,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649094,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649104,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649114,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649124,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649134,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649144,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649154,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649164,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649174,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649184,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649194,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649204,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649214,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649224,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649234,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649244,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649254,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649264,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649274,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649284,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649294,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649304,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649314,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649324,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649334,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649344,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649354,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649364,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649374,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649384,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649394,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649404,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649414,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649424,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649434,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649444,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649454,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649464,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649474,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649484,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649494,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649504,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649514,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649524,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649534,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649544,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649554,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649564,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649574,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
1552649584,9,57,12.028030,6,12.812507,6.000000,6.000000,31.000000,57.000000,57.000000,57.000000
