t,count
1552648604,89
1552648614,230
1552648624,363
1552648634,476
1552648644,527
1552648654,636
1552648664,718
1552648674,824
1552648684,966
1552648694,1051
1552648704,1258
1552648714,1438
1552648724,1497
1552648734,1622
1552648744,1738
1552648754,1798
1552648764,1907
1552648774,2042
1552648784,2162
1552648794,2320
1552648804,2376
1552648814,2522
1552648824,2604
1552648834,2633
1552648844,2641
1552648854,2679
1552648864,2780
1552648874,2881
1552648884,2934
1552648894,2970
1552648904,3124
1552648914,3153
1552648924,3214
1552648934,3247
1552648944,3297
1552648954,3355
1552648964,3478
1552648974,3502
1552648984,3574
1552648994,3584
1552649004,3766
1552649014,3848
1552649024,3917
1552649034,3943
1552649044,4021
1552649054,4055
1552649064,4069
1552649074,4080
1552649084,4090
1552649094,4100
1552649104,4111
1552649114,4121
1552649124,4131
1552649134,4141
1552649144,4151
1552649154,4161
1552649164,4172
1552649174,4182
1552649184,4192
1552649194,4202
1552649204,4212
1552649214,4222
1552649224,4232
1552649234,4243
1552649244,4252
1552649254,4262
1552649264,4272
1552649274,4282
1552649284,4292
1552649294,4303
1552649304,4313
1552649314,4323
1552649324,4333
1552649334,4343
1552649344,4353
1552649354,4363
1552649364,4373
1552649374,4383
1552649384,4393
1552649394,4403
1552649404,4413
1552649414,4423
1552649424,4433
1552649434,4443
1552649444,4453
1552649454,4463
1552649464,4473
1552649474,4483
1552649484,4493
1552649494,4503
1552649504,4513
1552649514,4523
1552649524,4533
1552649534,4543
1552649544,4553
1552649554,4563
1552649564,4573
1552649574,4583
1552649584,4593
