t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552648604,78,72,41.931913,16,15.274090,33.000000,52.000000,72.000000,72.000000,72.000000,72.000000
1552648614,146,94,45.892284,14,17.465582,34.000000,66.000000,72.000000,83.000000,83.000000,94.000000
1552648624,260,100,45.112465,2,18.529458,34.000000,66.000000,74.000000,83.000000,86.000000,100.000000
1552648634,354,100,44.264267,2,17.875239,34.000000,66.000000,72.000000,83.000000,84.000000,100.000000
1552648644,438,128,45.255379,2,19.330125,34.000000,66.000000,74.000000,84.000000,86.000000,128.000000
1552648654,544,128,46.059277,2,20.322911,34.000000,66.000000,79.000000,86.000000,100.000000,128.000000
1552648664,634,128,45.600080,1,20.631736,34.000000,66.000000,80.000000,86.000000,100.000000,128.000000
1552648674,671,128,45.871013,1,20.835969,34.000000,66.000000,82.000000,86.000000,107.000000,128.000000
1552648684,782,128,45.727152,1,20.864028,34.000000,66.000000,83.000000,99.000000,107.000000,128.000000
1552648694,873,128,45.275164,1,21.256070,34.000000,66.000000,83.000000,100.000000,107.000000,128.000000
1552648704,1027,128,43.982329,1,21.637566,34.000000,66.000000,83.000000,100.000000,107.000000,128.000000
1552648714,1117,128,43.482822,1,21.326195,34.000000,60.000000,83.000000,99.000000,107.000000,128.000000
1552648724,1175,128,42.933710,1,21.208571,34.000000,57.000000,83.000000,94.000000,107.000000,111.000000
1552648734,1187,128,43.478544,1,21.355222,34.000000,63.000000,83.000000,94.000000,104.000000,111.000000
1552648744,1211,111,43.439698,1,21.180075,34.000000,59.000000,83.000000,99.000000,105.000000,109.000000
1552648754,1238,111,42.865879,1,20.949526,34.000000,56.000000,83.000000,93.000000,104.000000,109.000000
1552648764,1378,109,41.182308,3,20.483602,34.000000,51.000000,80.000000,88.000000,100.000000,109.000000
1552648774,1462,109,40.560104,4,20.419778,34.000000,50.000000,77.000000,87.000000,99.000000,109.000000
1552648784,1623,109,39.555743,4,19.875345,34.000000,50.000000,76.000000,84.000000,93.000000,108.000000
1552648794,1623,109,39.555743,4,19.875345,34.000000,50.000000,76.000000,84.000000,93.000000,108.000000
1552648804,1755,109,39.588858,3,20.506261,34.000000,50.000000,79.000000,84.000000,99.000000,108.000000
1552648814,1860,109,38.797593,3,20.237129,34.000000,50.000000,75.000000,84.000000,91.000000,108.000000
1552648824,1944,116,38.683513,3,20.997075,33.000000,50.000000,77.000000,84.000000,99.000000,116.000000
1552648834,1982,858,42.768172,3,51.786657,33.000000,50.000000,83.000000,95.000000,116.000000,858.000000
1552648844,2001,858,46.775552,3,62.572013,34.000000,51.000000,86.000000,124.000000,305.000000,858.000000
1552648854,2083,858,49.403049,3,59.142232,42.000000,59.000000,100.000000,144.000000,219.000000,858.000000
1552648864,2267,858,48.230695,1,52.292980,43.000000,59.000000,102.000000,128.000000,153.000000,858.000000
1552648874,2358,858,47.542898,1,49.405804,43.000000,59.000000,100.000000,126.000000,149.000000,858.000000
1552648884,2481,858,47.006578,1,46.148557,42.000000,61.000000,100.000000,120.000000,144.000000,714.000000
1552648894,2540,858,46.457526,1,44.660661,41.000000,60.000000,100.000000,119.000000,136.000000,714.000000
1552648904,2601,858,45.769262,1,38.746174,40.000000,60.000000,100.000000,120.000000,136.000000,443.000000
1552648914,2647,858,45.889800,1,38.039552,41.000000,61.000000,100.000000,120.000000,141.000000,443.000000
1552648924,2725,858,44.975939,3,36.469562,40.000000,59.000000,97.000000,116.000000,136.000000,443.000000
1552648934,2875,858,43.480107,3,32.830549,37.000000,58.000000,91.000000,114.000000,126.000000,305.000000
1552648944,3075,443,41.909358,3,27.223153,34.000000,55.000000,89.000000,107.000000,117.000000,219.000000
1552648954,3149,443,41.541318,3,27.182208,34.000000,53.000000,89.000000,106.000000,120.000000,156.000000
1552648964,3234,443,41.078055,3,26.677858,34.000000,51.000000,87.000000,101.000000,117.000000,156.000000
1552648974,3323,443,40.567881,3,25.610127,33.000000,51.000000,84.000000,100.000000,117.000000,156.000000
1552648984,3416,443,40.125335,2,25.569591,33.000000,51.000000,84.000000,100.000000,117.000000,156.000000
1552648994,3514,443,41.328190,2,26.999470,33.000000,51.000000,92.000000,117.000000,132.000000,156.000000
1552649004,3638,156,40.678419,1,25.863040,33.000000,51.000000,90.000000,116.000000,132.000000,153.000000
1552649014,3710,175,41.016305,1,26.623832,33.000000,51.000000,91.000000,116.000000,132.000000,175.000000
1552649024,3760,175,40.793969,1,26.210647,33.000000,51.000000,86.000000,116.000000,132.000000,175.000000
1552649034,3850,175,41.438843,1,25.874340,34.000000,51.000000,86.000000,116.000000,122.000000,175.000000
1552649044,3908,284,47.298846,1,35.919829,42.000000,64.000000,115.000000,151.000000,183.000000,284.000000
1552649054,3958,284,47.555518,1,34.799944,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649064,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649074,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649084,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649094,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649104,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649114,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649124,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649134,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649144,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649154,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649164,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649174,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649184,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649194,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649204,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649214,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649224,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649234,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649244,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649254,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649264,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649274,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649284,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649294,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649304,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649314,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649324,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649334,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649344,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649354,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649364,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649374,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649384,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649394,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649404,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649414,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649424,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649434,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649444,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649454,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649464,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649474,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649484,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649494,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649504,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649514,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649524,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649534,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649544,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649554,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649564,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649574,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
1552649584,3960,284,47.565413,1,34.729668,47.000000,61.000000,105.000000,149.000000,183.000000,284.000000
