t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552603112,37,104,48.701656,14,21.268366,50.000000,66.000000,78.000000,104.000000,104.000000,104.000000
1552603122,179,116,43.315406,14,17.628009,34.000000,66.000000,67.000000,71.000000,104.000000,116.000000
1552603132,307,116,44.136963,2,17.971726,34.000000,66.000000,67.000000,82.000000,84.000000,116.000000
1552603142,405,116,43.487596,2,17.011378,34.000000,66.000000,67.000000,78.000000,83.000000,116.000000
1552603152,527,116,42.104344,2,16.187640,34.000000,50.000000,67.000000,71.000000,83.000000,116.000000
1552603162,660,116,42.821937,2,16.535014,34.000000,62.000000,67.000000,71.000000,83.000000,116.000000
1552603172,750,116,43.760373,2,17.057454,34.000000,66.000000,67.000000,83.000000,84.000000,104.000000
1552603182,855,116,43.315810,2,16.841476,34.000000,65.000000,67.000000,83.000000,84.000000,104.000000
1552603192,970,116,44.304966,2,17.152856,34.000000,66.000000,67.000000,83.000000,84.000000,104.000000
1552603202,1156,116,43.765486,14,16.687300,34.000000,66.000000,67.000000,83.000000,84.000000,101.000000
1552603212,1291,104,44.173551,14,16.864500,34.000000,66.000000,67.000000,83.000000,84.000000,101.000000
1552603222,1387,104,45.045408,14,16.946219,34.000000,66.000000,67.000000,83.000000,84.000000,101.000000
1552603232,1552,104,44.428481,10,16.886613,34.000000,66.000000,67.000000,83.000000,84.000000,102.000000
1552603242,1645,104,45.934797,10,17.157564,34.000000,66.000000,67.000000,83.000000,84.000000,102.000000
1552603252,1746,104,46.748998,10,17.134759,36.000000,66.000000,67.000000,83.000000,84.000000,102.000000
1552603262,1911,104,45.591201,10,16.842674,34.000000,66.000000,67.000000,83.000000,83.000000,102.000000
1552603272,2054,104,45.702435,10,16.709138,34.000000,66.000000,67.000000,73.000000,83.000000,102.000000
1552603282,2200,103,45.360663,9,16.956752,34.000000,66.000000,67.000000,76.000000,83.000000,103.000000
1552603292,2361,103,44.927885,1,17.336582,34.000000,66.000000,67.000000,83.000000,84.000000,103.000000
1552603302,2453,347,51.312098,1,47.417985,34.000000,66.000000,73.000000,333.000000,333.000000,347.000000
1552603312,2653,347,48.911893,1,42.282565,34.000000,66.000000,68.000000,100.000000,333.000000,347.000000
1552603322,2808,347,47.450081,1,38.564808,34.000000,66.000000,68.000000,84.000000,333.000000,347.000000
1552603332,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603342,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603354,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603362,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603372,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603383,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603392,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603402,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603412,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603422,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603432,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603442,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603452,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
1552603462,2863,350,48.280385,1,41.348306,34.000000,66.000000,68.000000,100.000000,333.000000,350.000000
