t,value
1552413140,0.0
1552413343,0.0
1552413373,0.0
1552413833,0.0
1552413863,0.0
1552413893,0.0
1552413923,0.0
1552413953,0.0
1552413983,0.0
1552414013,0.0
1552414043,0.0
1552414073,0.0
1552414103,0.0
1552414133,0.0
1552414163,0.0
1552414208,0.0
1552414725,0.0
1552414796,0.0
1552414826,0.0
1552415091,0.0
1552415121,0.0
1552415151,0.0
1552432865,0.0
1552432875,0.0
1552432885,0.0
1552432895,0.0
1552432905,0.0
1552432915,0.0
1552432925,0.0
1552432935,0.0
1552432945,0.0
1552432955,0.0
1552432965,0.0
1552432975,0.0
1552432985,0.0
1552432995,0.0
1552433005,0.0
1552433015,0.0
1552433025,0.0
1552433035,0.0
1552433045,0.0
1552433055,0.0
1552433065,0.0
1552433075,0.0
1552433085,0.0
1552433095,0.0
1552433105,0.0
1552433115,0.0
1552433125,0.0
1552433135,0.0
1552433145,0.0
1552433155,0.0
1552433165,0.0
1552433175,0.0
1552433185,0.0
1552433195,0.0
1552433205,0.0
1552433215,0.0
1552433225,0.0
1552433235,0.0
1552433245,0.0
1552433255,0.0
1552433265,0.0
1552433275,0.0
1552433285,0.0
1552433295,0.0
1552433305,0.0
1552433315,0.0
1552433325,0.0
1552433335,0.0
1552433345,0.0
1552433355,0.0
1552433365,0.0
1552433375,0.0
1552433385,0.0
1552433488,0.0
1552433498,0.0
1552433508,0.0
1552433518,0.0
1552433528,0.0
1552433538,0.0
1552433548,0.0
1552433558,0.0
1552433568,0.0
1552433578,0.0
1552433588,0.0
1552433598,0.0
1552433608,0.0
1552433618,0.0
1552433628,0.0
1552433638,0.0
1552433648,0.0
1552433658,0.0
1552433668,0.0
1552433678,0.0
