t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552413803,219,89,27.436849,8,11.455173,33.000000,33.000000,50.000000,56.000000,66.000000,89.000000
1552413833,861,89,23.859670,3,11.771927,17.000000,33.000000,50.000000,56.000000,66.000000,83.000000
1552413863,1155,116,27.041597,3,13.589377,19.000000,33.000000,50.000000,66.000000,67.000000,116.000000
1552413893,1546,116,30.085685,5,14.418313,33.000000,34.000000,52.000000,67.000000,67.000000,116.000000
1552413923,1821,91,32.009574,5,15.225652,33.000000,36.000000,62.000000,67.000000,83.000000,84.000000
1552413953,2275,84,32.012475,5,15.357611,33.000000,49.000000,53.000000,67.000000,83.000000,84.000000
1552413983,2719,86,36.216656,10,15.777439,33.000000,50.000000,66.000000,67.000000,83.000000,86.000000
1552414013,3171,101,36.337152,13,16.647377,33.000000,50.000000,66.000000,67.000000,83.000000,101.000000
1552414043,3509,116,35.643098,13,16.842172,33.000000,50.000000,66.000000,67.000000,84.000000,116.000000
1552414073,3810,101,35.171103,13,16.689215,33.000000,50.000000,66.000000,67.000000,83.000000,100.000000
1552414103,4189,101,33.845578,4,17.790903,33.000000,50.000000,66.000000,83.000000,83.000000,99.000000
1552414133,4527,116,34.260061,2,20.223908,33.000000,50.000000,67.000000,84.000000,92.000000,116.000000
1552414163,4568,596,36.668639,2,38.112809,33.000000,50.000000,82.000000,93.000000,109.000000,596.000000
1552414796,76,84,26.059143,14,14.999781,17.000000,33.000000,65.000000,84.000000,84.000000,84.000000
1552414826,719,100,31.816139,14,10.706966,33.000000,34.000000,50.000000,66.000000,67.000000,100.000000
1552415091,164,62,29.033553,0,11.720836,33.000000,34.000000,50.000000,50.000000,50.000000,62.000000
1552415121,649,84,26.961208,0,12.076062,32.000000,33.000000,50.000000,51.000000,67.000000,84.000000
1552415151,1031,84,28.264436,0,12.297214,33.000000,34.000000,50.000000,65.000000,67.000000,84.000000
