t,count
1553046790,4
1553046800,11
1553046810,20
1553046820,29
1553046830,39
1553046840,49
1553046850,59
1553046860,69
1553046870,79
1553046880,89
1553046890,99
1553046900,108
1553046910,117
1553046920,127
1553047065,5
1553047075,15
1553047085,25
1553047095,35
1553047105,44
1553047115,54
1553047125,64
1553047135,73
1553047145,82
1553047155,91
1553047165,100
1553047175,110
1553047185,120
1553047195,130
1553047205,140
1553047215,150
1553047225,159
1553047235,169
1553047385,7
1553047395,17
1553047405,27
1553047415,36
1553047425,46
1553047435,56
1553047445,66
1553047455,76
