t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1553045406,199,343,10.292050,0,33.069207,0.000000,0.000000,78.000000,107.000000,122.000000,343.000000
1553045416,481,343,6.646308,0,24.371805,0.000000,0.000000,44.000000,101.000000,111.000000,343.000000
1553045426,762,343,5.538718,0,21.671178,0.000000,0.000000,31.000000,78.000000,107.000000,343.000000
1553045436,1038,343,4.595121,0,18.487371,0.000000,0.000000,22.000000,47.000000,101.000000,241.000000
1553045446,1318,241,3.845790,0,13.997484,0.000000,0.000000,22.000000,40.000000,63.000000,122.000000
1553045456,1589,241,3.492806,0,12.870039,0.000000,0.000000,22.000000,38.000000,54.000000,122.000000
1553045466,1863,241,3.379320,0,11.846733,0.000000,0.000000,16.000000,31.000000,47.000000,122.000000
1553045476,2134,122,3.931440,0,10.522781,0.000000,0.000000,22.000000,34.000000,47.000000,104.000000
1553045486,2406,122,4.114729,0,10.460830,0.000000,0.000000,22.000000,35.000000,47.000000,104.000000
1553045496,2684,189,4.551897,0,13.836584,0.000000,0.000000,23.000000,40.000000,59.000000,189.000000
1553045506,2954,189,4.124909,0,12.965165,0.000000,0.000000,22.000000,35.000000,54.000000,189.000000
1553045516,3224,189,4.042134,0,12.740636,0.000000,0.000000,22.000000,34.000000,49.000000,189.000000
1553045526,3502,189,4.004147,0,12.329831,0.000000,0.000000,22.000000,35.000000,47.000000,189.000000
1553045536,3702,189,3.828508,0,11.893057,0.000000,0.000000,22.000000,33.000000,47.000000,123.000000
1553046178,244,130,5.189060,0,11.902761,0.000000,9.000000,25.000000,31.000000,38.000000,130.000000
1553046188,524,130,4.966162,0,15.054813,0.000000,0.000000,25.000000,44.000000,111.000000,130.000000
1553046198,812,208,4.558236,0,14.911982,0.000000,0.000000,25.000000,41.000000,71.000000,208.000000
1553046208,1087,208,4.506103,0,14.242903,0.000000,0.000000,25.000000,43.000000,71.000000,123.000000
1553046218,1364,208,4.053899,0,13.263067,0.000000,0.000000,22.000000,33.000000,60.000000,123.000000
1553046228,1643,208,3.796709,0,11.822020,0.000000,0.000000,22.000000,31.000000,44.000000,123.000000
1553046238,1921,208,3.727003,0,11.077168,0.000000,0.000000,22.000000,31.000000,40.000000,122.000000
1553046248,2208,208,3.079218,0,9.478192,0.000000,0.000000,22.000000,31.000000,33.000000,101.000000
1553046258,2482,208,2.999090,0,9.143868,0.000000,0.000000,22.000000,31.000000,33.000000,101.000000
1553046268,2764,149,4.136017,0,12.879461,0.000000,0.000000,22.000000,33.000000,47.000000,149.000000
1553046278,3045,122,3.501654,0,10.945998,0.000000,0.000000,22.000000,31.000000,44.000000,122.000000
1553046288,3327,122,3.256779,0,10.194945,0.000000,0.000000,22.000000,31.000000,44.000000,122.000000
1553046298,3605,122,3.248918,0,10.128962,0.000000,0.000000,22.000000,31.000000,33.000000,122.000000
1553046308,3882,122,2.545117,0,7.722024,0.000000,0.000000,16.000000,23.000000,31.000000,70.000000
