t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1553045406,1,245,245.000000,245,0.000000,245.000000,245.000000,245.000000,245.000000,245.000000,245.000000
1553045416,3,559,278.174452,41,218.035538,245.000000,559.000000,559.000000,559.000000,559.000000,559.000000
1553045426,3,559,278.174452,41,218.035538,245.000000,559.000000,559.000000,559.000000,559.000000,559.000000
1553045436,3,559,278.174452,41,218.035538,245.000000,559.000000,559.000000,559.000000,559.000000,559.000000
1553045446,3,559,278.174452,41,218.035538,245.000000,559.000000,559.000000,559.000000,559.000000,559.000000
1553045456,4,559,173.079995,16,212.111278,41.000000,245.000000,559.000000,559.000000,559.000000,559.000000
1553045466,4,559,173.079995,16,212.111278,41.000000,245.000000,559.000000,559.000000,559.000000,559.000000
1553045476,4,559,173.079995,16,212.111278,41.000000,245.000000,559.000000,559.000000,559.000000,559.000000
1553045486,4,559,173.079995,16,212.111278,41.000000,245.000000,559.000000,559.000000,559.000000,559.000000
1553045496,5,820,434.385084,16,357.185400,559.000000,820.000000,820.000000,820.000000,820.000000,820.000000
1553045506,5,820,434.385084,16,357.185400,559.000000,820.000000,820.000000,820.000000,820.000000,820.000000
1553045516,5,820,434.385084,16,357.185400,559.000000,820.000000,820.000000,820.000000,820.000000,820.000000
1553045526,5,820,434.385084,16,357.185400,559.000000,820.000000,820.000000,820.000000,820.000000,820.000000
1553046178,2,266,173.672369,68,98.774893,266.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046188,2,266,173.672369,68,98.774893,266.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046198,3,266,116.441370,37,101.081662,68.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046208,3,266,116.441370,37,101.081662,68.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046218,3,266,116.441370,37,101.081662,68.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046228,3,266,116.441370,37,101.081662,68.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046238,3,266,116.441370,37,101.081662,68.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046248,3,266,116.441370,37,101.081662,68.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046258,3,266,116.441370,37,101.081662,68.000000,266.000000,266.000000,266.000000,266.000000,266.000000
1553046268,4,266,93.911865,37,73.414228,73.000000,73.000000,266.000000,266.000000,266.000000,266.000000
1553046278,4,266,93.911865,37,73.414228,73.000000,73.000000,266.000000,266.000000,266.000000,266.000000
1553046288,4,266,93.911865,37,73.414228,73.000000,73.000000,266.000000,266.000000,266.000000,266.000000
1553046298,4,266,93.911865,37,73.414228,73.000000,73.000000,266.000000,266.000000,266.000000,266.000000
1553046308,4,266,93.911865,37,73.414228,73.000000,73.000000,266.000000,266.000000,266.000000,266.000000
