t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1553045406,1,233,233.000000,233,0.000000,233.000000,233.000000,233.000000,233.000000,233.000000,233.000000
1553045416,2,233,133.704104,52,90.071539,52.000000,233.000000,233.000000,233.000000,233.000000,233.000000
1553045426,3,233,141.749859,52,70.677526,154.000000,233.000000,233.000000,233.000000,233.000000,233.000000
1553045436,3,233,141.749859,52,70.677526,154.000000,233.000000,233.000000,233.000000,233.000000,233.000000
1553045446,3,233,141.749859,52,70.677526,154.000000,233.000000,233.000000,233.000000,233.000000,233.000000
1553045456,3,233,141.749859,52,70.677526,154.000000,233.000000,233.000000,233.000000,233.000000,233.000000
1553045466,3,233,141.749859,52,70.677526,154.000000,233.000000,233.000000,233.000000,233.000000,233.000000
1553045476,5,740,337.464543,52,264.678317,206.000000,740.000000,740.000000,740.000000,740.000000,740.000000
1553045486,5,740,337.464543,52,264.678317,206.000000,740.000000,740.000000,740.000000,740.000000,740.000000
1553045496,6,740,275.913124,52,239.993493,154.000000,233.000000,740.000000,740.000000,740.000000,740.000000
1553045506,6,740,275.913124,52,239.993493,154.000000,233.000000,740.000000,740.000000,740.000000,740.000000
1553045516,6,740,275.913124,52,239.993493,154.000000,233.000000,740.000000,740.000000,740.000000,740.000000
1553045526,6,740,275.913124,52,239.993493,154.000000,233.000000,740.000000,740.000000,740.000000,740.000000
1553046178,3,338,190.314033,20,133.471804,225.000000,338.000000,338.000000,338.000000,338.000000,338.000000
1553046188,4,338,192.625303,20,114.407575,199.000000,225.000000,338.000000,338.000000,338.000000,338.000000
1553046198,5,338,206.575317,20,101.084627,225.000000,246.000000,338.000000,338.000000,338.000000,338.000000
1553046208,5,338,206.575317,20,101.084627,225.000000,246.000000,338.000000,338.000000,338.000000,338.000000
1553046218,5,338,206.575317,20,101.084627,225.000000,246.000000,338.000000,338.000000,338.000000,338.000000
1553046228,5,338,206.575317,20,101.084627,225.000000,246.000000,338.000000,338.000000,338.000000,338.000000
1553046238,5,338,206.575317,20,101.084627,225.000000,246.000000,338.000000,338.000000,338.000000,338.000000
1553046248,5,338,206.575317,20,101.084627,225.000000,246.000000,338.000000,338.000000,338.000000,338.000000
1553046258,6,496,311.670648,20,160.872244,246.000000,496.000000,496.000000,496.000000,496.000000,496.000000
1553046268,7,576,391.763857,20,181.091692,496.000000,576.000000,576.000000,576.000000,576.000000,576.000000
1553046278,8,576,421.768814,20,163.745749,496.000000,507.000000,576.000000,576.000000,576.000000,576.000000
1553046288,8,576,421.768814,20,163.745749,496.000000,507.000000,576.000000,576.000000,576.000000,576.000000
1553046298,8,576,421.768814,20,163.745749,496.000000,507.000000,576.000000,576.000000,576.000000,576.000000
1553046308,8,576,421.768814,20,163.745749,496.000000,507.000000,576.000000,576.000000,576.000000,576.000000
