t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1553094994,1,39,39.000000,39,0.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000
1553095004,8,949,501.643626,4,310.355168,532.000000,799.000000,949.000000,949.000000,949.000000,949.000000
1553095014,12,998,441.420222,4,352.469159,425.000000,677.000000,998.000000,998.000000,998.000000,998.000000
1553095024,19,998,332.370161,4,319.040662,352.000000,523.000000,949.000000,998.000000,998.000000,998.000000
1553095034,21,998,358.275717,4,308.986926,365.000000,532.000000,949.000000,998.000000,998.000000,998.000000
1553095044,27,998,345.216836,4,309.981162,365.000000,567.000000,949.000000,998.000000,998.000000,998.000000
1553095054,30,998,295.256079,4,309.408738,47.000000,523.000000,799.000000,998.000000,998.000000,998.000000
1553095064,31,998,278.592688,4,307.890797,39.000000,523.000000,799.000000,998.000000,998.000000,998.000000
1553095074,38,1000,346.212316,4,314.711098,365.000000,525.000000,998.000000,1000.000000,1000.000000,1000.000000
1553095084,41,1000,388.546506,4,314.775126,500.000000,615.000000,998.000000,1000.000000,1000.000000,1000.000000
1553095094,48,1000,403.556656,4,321.224077,517.000000,615.000000,998.000000,1000.000000,1000.000000,1000.000000
1553095104,56,1000,427.462647,4,301.628376,517.000000,615.000000,998.000000,1000.000000,1000.000000,1000.000000
1553095114,62,1000,449.409818,4,299.224502,517.000000,683.000000,949.000000,998.000000,1000.000000,1000.000000
1553095124,66,1000,425.810551,4,319.658548,516.000000,683.000000,970.000000,998.000000,1000.000000,1000.000000
1553095134,68,1000,398.785030,4,323.593805,482.000000,632.000000,970.000000,998.000000,1000.000000,1000.000000
1553095144,77,1000,372.301214,4,310.063753,350.000000,583.000000,949.000000,998.000000,998.000000,1000.000000
1553095154,82,1000,343.404327,4,301.283215,282.000000,532.000000,882.000000,998.000000,998.000000,1000.000000
1553095164,89,1000,332.989158,4,285.580441,236.000000,517.000000,881.000000,970.000000,998.000000,1000.000000
1553095174,98,1000,364.976106,4,293.009804,319.000000,519.000000,883.000000,970.000000,998.000000,1000.000000
1553095184,103,1000,411.801852,4,306.295663,482.000000,596.000000,883.000000,1000.000000,1000.000000,1000.000000
1553095194,104,1000,400.060143,4,309.100979,450.000000,596.000000,883.000000,1000.000000,1000.000000,1000.000000
1553095204,108,1000,410.862872,4,320.335002,450.000000,683.000000,968.000000,1000.000000,1000.000000,1000.000000
1553095214,110,1000,406.882119,4,316.192168,450.000000,615.000000,968.000000,1000.000000,1000.000000,1000.000000
