t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758607,125,270,22.903679,0,39.214000,0.000000,29.000000,100.000000,126.000000,126.000000,270.000000
1552758617,142,1164,31.697919,0,107.952509,0.000000,29.000000,119.000000,167.000000,270.000000,1164.000000
1552758627,151,1164,35.121379,0,112.150352,0.000000,29.000000,126.000000,270.000000,435.000000,1164.000000
1552758637,197,1493,47.349030,0,154.854821,11.000000,37.000000,167.000000,308.000000,1164.000000,1493.000000
1552758647,200,1586,69.057004,0,223.263627,11.000000,39.000000,270.000000,1006.000000,1493.000000,1586.000000
1552758657,229,1586,66.565986,0,208.519105,1.000000,36.000000,308.000000,1006.000000,1493.000000,1586.000000
1552758667,247,1586,83.770958,0,238.096154,1.000000,40.000000,435.000000,1164.000000,1493.000000,1586.000000
1552758677,294,1586,77.300480,0,229.111581,11.000000,30.000000,592.000000,992.000000,1327.000000,1586.000000
1552758687,299,1586,83.649584,0,236.096372,11.000000,31.000000,687.000000,992.000000,1327.000000,1586.000000
1552758697,321,1586,84.210113,0,238.631151,7.000000,30.000000,687.000000,1006.000000,1327.000000,1586.000000
1552758707,361,1586,82.486544,0,237.861462,9.000000,28.000000,687.000000,1143.000000,1278.000000,1586.000000
1552758717,400,1586,79.320206,0,234.468099,7.000000,25.000000,687.000000,1133.000000,1278.000000,1586.000000
1552758727,456,1586,73.470983,0,227.977070,0.000000,22.000000,553.000000,1133.000000,1258.000000,1586.000000
1552758737,474,1586,74.485577,0,223.859918,0.000000,22.000000,553.000000,1006.000000,1258.000000,1586.000000
1552758747,519,1586,64.263726,0,203.198381,0.000000,22.000000,435.000000,864.000000,1143.000000,1586.000000
1552758757,528,1616,74.991653,0,229.089194,0.000000,22.000000,537.000000,992.000000,1278.000000,1616.000000
1552758767,548,1616,77.054501,0,228.081144,0.000000,22.000000,553.000000,882.000000,1258.000000,1616.000000
1552758777,611,1616,66.045823,0,209.647570,0.000000,11.000000,477.000000,864.000000,1143.000000,1616.000000
1552758787,632,1616,67.833080,0,215.335686,0.000000,12.000000,477.000000,978.000000,1217.000000,1616.000000
1552758797,632,1616,67.833080,0,215.335686,0.000000,12.000000,477.000000,978.000000,1217.000000,1616.000000
1552758807,650,1616,72.410043,0,220.869373,0.000000,11.000000,580.000000,865.000000,1217.000000,1616.000000
1552758817,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758827,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758837,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758847,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758857,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758867,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758877,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758887,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758897,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758907,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
1552758917,678,1616,72.784852,0,214.099509,0.000000,21.000000,595.000000,865.000000,1143.000000,1616.000000
