t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758637,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758647,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758657,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758667,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758677,2,39,33.252667,28,5.494436,28.000000,39.000000,39.000000,39.000000,39.000000,39.000000
1552758687,2,39,33.252667,28,5.494436,28.000000,39.000000,39.000000,39.000000,39.000000,39.000000
1552758697,2,39,33.252667,28,5.494436,28.000000,39.000000,39.000000,39.000000,39.000000,39.000000
1552758707,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758717,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758727,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758737,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758747,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758757,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758767,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758777,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758787,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758797,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758807,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758817,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758827,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758837,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758847,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758857,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758867,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758877,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758887,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758897,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
1552758907,3,53,41.999937,28,10.631882,39.000000,53.000000,53.000000,53.000000,53.000000,53.000000
