t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758607,4,27,25.511306,25,0.872455,25.000000,27.000000,27.000000,27.000000,27.000000,27.000000
1552758617,9,29,25.699614,25,1.374048,25.000000,25.000000,29.000000,29.000000,29.000000,29.000000
1552758627,12,29,26.086301,25,1.571197,25.000000,27.000000,29.000000,29.000000,29.000000,29.000000
1552758637,16,32,26.369765,25,2.119364,25.000000,27.000000,32.000000,32.000000,32.000000,32.000000
1552758647,16,32,26.369765,25,2.119364,25.000000,27.000000,32.000000,32.000000,32.000000,32.000000
1552758657,18,36,27.079496,25,3.363974,25.000000,29.000000,36.000000,36.000000,36.000000,36.000000
1552758667,21,36,26.744621,25,3.008572,25.000000,27.000000,36.000000,36.000000,36.000000,36.000000
1552758677,24,52,28.702170,25,7.086187,26.000000,28.000000,52.000000,52.000000,52.000000,52.000000
1552758687,24,52,28.702170,25,7.086187,26.000000,28.000000,52.000000,52.000000,52.000000,52.000000
1552758697,26,52,29.164765,25,6.941761,26.000000,29.000000,52.000000,52.000000,52.000000,52.000000
1552758707,30,52,28.708880,25,5.988981,27.000000,29.000000,37.000000,52.000000,52.000000,52.000000
1552758717,33,52,28.457924,25,5.465361,27.000000,29.000000,37.000000,52.000000,52.000000,52.000000
1552758727,38,52,28.159198,25,4.709595,27.000000,29.000000,37.000000,52.000000,52.000000,52.000000
1552758737,45,306,55.203617,25,74.720573,27.000000,29.000000,281.000000,306.000000,306.000000,306.000000
1552758747,53,306,47.145375,25,64.362901,27.000000,28.000000,281.000000,306.000000,306.000000,306.000000
1552758757,53,306,47.145375,25,64.362901,27.000000,28.000000,281.000000,306.000000,306.000000,306.000000
1552758767,53,306,47.145375,25,64.362901,27.000000,28.000000,281.000000,306.000000,306.000000,306.000000
1552758777,57,306,43.432133,25,58.371768,27.000000,28.000000,128.000000,306.000000,306.000000,306.000000
1552758787,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758797,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758807,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758817,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758827,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758837,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758847,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758857,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758867,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758877,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758887,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758897,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
1552758907,61,306,40.908006,25,53.503865,27.000000,29.000000,128.000000,306.000000,306.000000,306.000000
