t,count
1552758597,40
1552758607,107
1552758617,180
1552758627,219
1552758637,260
1552758647,280
1552758657,312
1552758667,322
1552758677,332
1552758687,358
1552758697,397
1552758707,475
1552758717,487
1552758727,530
1552758737,546
1552758747,595
1552758757,613
1552758767,643
1552758777,692
1552758787,709
1552758797,719
1552758807,741
1552758817,797
1552758827,814
1552758837,824
1552758847,847
1552758857,857
1552758867,877
1552758877,887
1552758887,897
1552758897,907
1552758907,917
1552758917,927
