t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758620,50,144,52.601952,0,45.692890,47.000000,83.000000,139.000000,140.000000,144.000000,144.000000
1552758630,85,635,45.423916,0,84.780134,11.000000,62.000000,140.000000,227.000000,635.000000,635.000000
1552758640,143,635,34.133562,0,80.682744,0.000000,37.000000,139.000000,227.000000,546.000000,635.000000
1552758650,160,635,34.894472,0,84.189975,0.000000,33.000000,144.000000,355.000000,546.000000,635.000000
1552758660,183,1771,43.937961,0,170.021099,0.000000,22.000000,158.000000,355.000000,635.000000,1771.000000
1552758670,208,1771,51.079011,0,170.046509,0.000000,30.000000,227.000000,546.000000,693.000000,1771.000000
1552758680,212,1771,52.272506,0,169.234197,0.000000,30.000000,262.000000,546.000000,693.000000,1771.000000
1552758690,212,1771,52.272506,0,169.234197,0.000000,30.000000,262.000000,546.000000,693.000000,1771.000000
1552758700,218,1771,53.464433,0,165.266646,0.000000,33.000000,262.000000,511.000000,693.000000,1771.000000
1552758710,258,1771,49.704891,0,155.585675,0.000000,33.000000,262.000000,546.000000,813.000000,1771.000000
1552758720,291,2542,65.550068,0,270.155812,0.000000,24.000000,293.000000,813.000000,1771.000000,2542.000000
1552758730,298,2542,63.842944,0,262.824806,0.000000,26.000000,262.000000,813.000000,1172.000000,2542.000000
1552758740,317,2542,61.031478,0,243.437000,11.000000,24.000000,236.000000,693.000000,1172.000000,2542.000000
1552758750,348,2542,71.589758,0,267.106130,11.000000,25.000000,275.000000,1073.000000,1633.000000,2542.000000
1552758760,410,2542,57.398713,0,226.815664,0.000000,24.000000,185.000000,693.000000,1172.000000,2542.000000
1552758770,440,2542,60.561403,0,229.056950,0.000000,24.000000,236.000000,813.000000,1367.000000,2542.000000
1552758780,455,2542,68.281757,0,250.030365,0.000000,24.000000,274.000000,1073.000000,1566.000000,2542.000000
1552758790,455,2542,68.281757,0,250.030365,0.000000,24.000000,274.000000,1073.000000,1566.000000,2542.000000
1552758800,458,16618,199.216596,0,1491.968810,0.000000,24.000000,326.000000,1367.000000,2542.000000,16618.000000
1552758810,474,16618,189.733198,0,1409.634552,0.000000,30.000000,469.000000,1494.000000,1633.000000,16618.000000
1552758820,474,16618,189.733198,0,1409.634552,0.000000,30.000000,469.000000,1494.000000,1633.000000,16618.000000
1552758830,478,16618,296.278183,0,1774.870355,11.000000,33.000000,667.000000,1633.000000,11804.000000,16618.000000
1552758840,501,16618,242.773932,0,1580.447547,0.000000,33.000000,592.000000,1566.000000,11804.000000,16618.000000
1552758850,501,16618,242.773932,0,1580.447547,0.000000,33.000000,592.000000,1566.000000,11804.000000,16618.000000
1552758860,501,16618,242.773932,0,1580.447547,0.000000,33.000000,592.000000,1566.000000,11804.000000,16618.000000
1552758870,501,16618,242.773932,0,1580.447547,0.000000,33.000000,592.000000,1566.000000,11804.000000,16618.000000
1552758880,501,16618,242.773932,0,1580.447547,0.000000,33.000000,592.000000,1566.000000,11804.000000,16618.000000
1552758890,516,16618,215.145126,0,1395.406703,0.000000,25.000000,592.000000,1583.000000,2542.000000,16618.000000
1552758900,518,16618,216.351048,0,1372.854776,0.000000,31.000000,592.000000,1583.000000,2542.000000,16618.000000
1552758910,525,16618,235.469080,0,1295.412890,11.000000,56.000000,744.000000,1583.000000,1633.000000,16618.000000
