t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758640,81,33,24.119371,15,4.827480,24.000000,28.000000,32.000000,32.000000,33.000000,33.000000
1552758650,105,33,24.135406,15,4.661231,23.000000,28.000000,32.000000,32.000000,32.000000,33.000000
1552758660,169,34,24.542509,15,4.888352,25.000000,28.000000,32.000000,33.000000,33.000000,34.000000
1552758670,201,41,24.667655,15,4.973608,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758680,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758690,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758700,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758710,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758720,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758730,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758740,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758750,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758760,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758770,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758780,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758790,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758800,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758810,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758820,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758830,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758840,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758850,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758860,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758870,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758880,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758890,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758900,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
1552758910,202,41,24.614294,15,4.997093,25.000000,28.000000,32.000000,33.000000,34.000000,41.000000
