t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758610,60,78,41.535077,17,16.237049,34.000000,57.000000,70.000000,70.000000,78.000000,78.000000
1552758620,190,101,39.787476,1,16.151636,34.000000,47.000000,70.000000,82.000000,83.000000,101.000000
1552758630,212,177,44.364317,1,22.478676,35.000000,55.000000,87.000000,101.000000,125.000000,177.000000
1552758640,224,177,45.739067,1,22.327258,35.000000,65.000000,87.000000,95.000000,125.000000,177.000000
1552758650,266,177,48.122137,1,21.895392,41.000000,66.000000,83.000000,98.000000,110.000000,177.000000
1552758660,280,177,49.111249,1,22.290290,43.000000,66.000000,87.000000,95.000000,110.000000,177.000000
1552758670,336,177,50.749965,1,22.073416,47.000000,67.000000,87.000000,95.000000,101.000000,177.000000
1552758680,339,177,50.691088,1,21.943319,47.000000,67.000000,87.000000,95.000000,101.000000,177.000000
1552758690,375,177,50.072964,1,22.292664,47.000000,67.000000,88.000000,99.000000,103.000000,177.000000
1552758700,414,177,50.302933,1,22.358855,49.000000,67.000000,88.000000,99.000000,110.000000,177.000000
1552758710,473,177,50.424058,1,21.787315,49.000000,67.000000,87.000000,100.000000,103.000000,177.000000
1552758720,510,177,50.894216,1,21.734047,50.000000,67.000000,87.000000,100.000000,101.000000,177.000000
1552758730,526,177,51.569323,1,21.956435,50.000000,67.000000,90.000000,100.000000,109.000000,177.000000
1552758740,533,177,52.248450,1,22.930737,50.000000,67.000000,98.000000,100.000000,110.000000,125.000000
1552758750,558,177,52.115113,1,23.254166,50.000000,67.000000,98.000000,103.000000,112.000000,125.000000
1552758760,569,177,52.357735,1,23.050134,50.000000,67.000000,98.000000,100.000000,112.000000,125.000000
1552758770,594,177,53.727149,1,22.528554,52.000000,67.000000,96.000000,100.000000,112.000000,125.000000
1552758780,597,177,53.144349,1,22.757693,51.000000,67.000000,96.000000,100.000000,112.000000,125.000000
1552758790,597,177,53.144349,1,22.757693,51.000000,67.000000,96.000000,100.000000,112.000000,125.000000
1552758800,597,177,53.144349,1,22.757693,51.000000,67.000000,96.000000,100.000000,112.000000,125.000000
1552758810,607,485,69.146910,1,76.055401,59.000000,67.000000,119.000000,448.000000,470.000000,485.000000
1552758820,637,485,68.080175,1,67.675418,59.000000,68.000000,119.000000,448.000000,470.000000,485.000000
1552758830,692,485,65.991635,1,61.817134,59.000000,69.000000,117.000000,343.000000,448.000000,485.000000
1552758840,727,759,76.175401,1,97.108551,59.000000,74.000000,200.000000,462.000000,759.000000,759.000000
1552758850,766,759,73.671262,1,88.094768,57.000000,80.000000,135.000000,448.000000,485.000000,759.000000
1552758860,766,759,73.671262,1,88.094768,57.000000,80.000000,135.000000,448.000000,485.000000,759.000000
1552758870,766,759,73.671262,1,88.094768,57.000000,80.000000,135.000000,448.000000,485.000000,759.000000
1552758880,766,759,73.671262,1,88.094768,57.000000,80.000000,135.000000,448.000000,485.000000,759.000000
1552758890,766,759,73.671262,1,88.094768,57.000000,80.000000,135.000000,448.000000,485.000000,759.000000
1552758900,784,759,71.084080,1,81.498800,58.000000,80.000000,127.000000,343.000000,470.000000,759.000000
1552758910,784,759,71.084080,1,81.498800,58.000000,80.000000,127.000000,343.000000,470.000000,759.000000
