t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758631,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758641,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758651,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758661,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758671,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758681,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758691,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758701,1,298,298.000000,298,0.000000,298.000000,298.000000,298.000000,298.000000,298.000000,298.000000
1552758711,1,298,298.000000,298,0.000000,298.000000,298.000000,298.000000,298.000000,298.000000,298.000000
1552758721,1,298,298.000000,298,0.000000,298.000000,298.000000,298.000000,298.000000,298.000000,298.000000
1552758731,1,298,298.000000,298,0.000000,298.000000,298.000000,298.000000,298.000000,298.000000,298.000000
1552758741,2,298,237.318480,205,44.284698,205.000000,298.000000,298.000000,298.000000,298.000000,298.000000
1552758751,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758761,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758771,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758781,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758791,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758801,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758811,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758821,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758831,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758841,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758851,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758861,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758871,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758881,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
1552758891,3,298,144.985019,25,110.394315,205.000000,205.000000,298.000000,298.000000,298.000000,298.000000
