t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758641,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758651,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758661,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758671,1,179,179.000000,179,0.000000,179.000000,179.000000,179.000000,179.000000,179.000000,179.000000
1552758681,2,376,281.929510,179,98.400353,376.000000,376.000000,376.000000,376.000000,376.000000,376.000000
1552758691,2,376,281.929510,179,98.400353,376.000000,376.000000,376.000000,376.000000,376.000000,376.000000
1552758701,2,376,281.929510,179,98.400353,376.000000,376.000000,376.000000,376.000000,376.000000,376.000000
1552758711,3,610,427.251472,179,178.748400,376.000000,610.000000,610.000000,610.000000,610.000000,610.000000
1552758721,3,610,427.251472,179,178.748400,376.000000,610.000000,610.000000,610.000000,610.000000,610.000000
1552758731,3,610,427.251472,179,178.748400,376.000000,610.000000,610.000000,610.000000,610.000000,610.000000
1552758741,3,610,427.251472,179,178.748400,376.000000,610.000000,610.000000,610.000000,610.000000,610.000000
1552758751,3,610,427.251472,179,178.748400,376.000000,610.000000,610.000000,610.000000,610.000000,610.000000
1552758761,3,610,427.251472,179,178.748400,376.000000,610.000000,610.000000,610.000000,610.000000,610.000000
1552758771,3,610,427.251472,179,178.748400,376.000000,610.000000,610.000000,610.000000,610.000000,610.000000
1552758781,3,610,427.251472,179,178.748400,376.000000,610.000000,610.000000,610.000000,610.000000,610.000000
1552758791,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758801,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758811,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758821,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758831,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758841,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758851,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758861,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758871,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758881,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
1552758891,4,985,757.234309,179,296.995751,985.000000,985.000000,985.000000,985.000000,985.000000,985.000000
