t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758601,4,791,444.197186,1,282.313369,507.000000,791.000000,791.000000,791.000000,791.000000,791.000000
1552758611,4,791,444.197186,1,282.313369,507.000000,791.000000,791.000000,791.000000,791.000000,791.000000
1552758621,5,791,335.571664,1,305.379757,465.000000,507.000000,791.000000,791.000000,791.000000,791.000000
1552758631,9,870,432.396893,1,302.639643,494.000000,622.000000,870.000000,870.000000,870.000000,870.000000
1552758641,11,870,344.941168,1,305.344310,121.000000,622.000000,870.000000,870.000000,870.000000,870.000000
1552758651,12,870,303.573385,1,304.732030,121.000000,507.000000,870.000000,870.000000,870.000000,870.000000
1552758661,15,999,334.497575,1,341.768256,121.000000,622.000000,999.000000,999.000000,999.000000,999.000000
1552758671,15,999,334.497575,1,341.768256,121.000000,622.000000,999.000000,999.000000,999.000000,999.000000
1552758681,15,999,334.497575,1,341.768256,121.000000,622.000000,999.000000,999.000000,999.000000,999.000000
1552758691,15,999,334.497575,1,341.768256,121.000000,622.000000,999.000000,999.000000,999.000000,999.000000
1552758701,19,999,278.609109,1,300.695691,121.000000,513.000000,999.000000,999.000000,999.000000,999.000000
1552758711,28,999,389.016971,1,276.739113,499.000000,552.000000,802.000000,999.000000,999.000000,999.000000
1552758721,31,999,380.442513,1,265.366715,499.000000,517.000000,802.000000,999.000000,999.000000,999.000000
1552758731,35,999,400.060451,1,270.886328,499.000000,552.000000,828.000000,870.000000,999.000000,999.000000
1552758741,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758751,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758761,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758771,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758781,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758791,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758801,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758811,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758821,36,999,414.167690,1,270.204959,499.000000,605.000000,828.000000,870.000000,999.000000,999.000000
1552758831,37,999,361.485694,1,266.957631,438.000000,517.000000,828.000000,870.000000,999.000000,999.000000
1552758841,38,999,409.653408,1,268.325281,499.000000,662.000000,828.000000,828.000000,999.000000,999.000000
1552758851,38,999,409.653408,1,268.325281,499.000000,662.000000,828.000000,828.000000,999.000000,999.000000
1552758861,38,999,409.653408,1,268.325281,499.000000,662.000000,828.000000,828.000000,999.000000,999.000000
1552758871,42,999,366.758230,1,295.633698,482.000000,662.000000,746.000000,828.000000,828.000000,999.000000
1552758881,43,999,318.049948,1,300.372943,246.000000,605.000000,746.000000,828.000000,828.000000,999.000000
1552758891,44,999,385.144970,1,331.846113,482.000000,746.000000,851.000000,851.000000,851.000000,999.000000
