t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758641,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758651,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758661,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758671,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758681,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758691,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758701,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758711,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758721,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758731,2,474,254.163316,44,214.945590,44.000000,474.000000,474.000000,474.000000,474.000000,474.000000
1552758741,4,706,353.368906,44,254.469288,199.000000,706.000000,706.000000,706.000000,706.000000,706.000000
1552758751,12,783,386.975180,15,241.382024,474.000000,566.000000,783.000000,783.000000,783.000000,783.000000
1552758761,13,783,370.452370,15,236.777671,399.000000,528.000000,783.000000,783.000000,783.000000,783.000000
1552758771,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758781,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758791,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758801,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758811,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758821,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758831,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758841,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758851,16,783,294.243580,15,248.061575,199.000000,505.000000,783.000000,783.000000,783.000000,783.000000
1552758861,17,783,235.945059,15,237.908743,106.000000,474.000000,706.000000,783.000000,783.000000,783.000000
1552758871,18,783,212.623979,15,216.508659,124.000000,202.000000,706.000000,783.000000,783.000000,783.000000
1552758881,18,783,212.623979,15,216.508659,124.000000,202.000000,706.000000,783.000000,783.000000,783.000000
1552758891,19,783,244.212209,15,198.592510,197.000000,350.000000,706.000000,783.000000,783.000000,783.000000
