t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758631,26,111,57.117478,15,24.273824,51.000000,70.000000,103.000000,111.000000,111.000000,111.000000
1552758641,69,115,50.647848,10,25.164695,42.000000,67.000000,102.000000,111.000000,115.000000,115.000000
1552758651,116,115,51.398665,10,23.250995,50.000000,67.000000,98.000000,103.000000,111.000000,115.000000
1552758661,148,115,51.867354,10,22.161185,50.000000,67.000000,99.000000,102.000000,111.000000,115.000000
1552758671,170,115,52.682501,10,22.076734,50.000000,67.000000,98.000000,100.000000,103.000000,115.000000
1552758681,215,115,50.514023,10,21.724349,50.000000,67.000000,91.000000,100.000000,102.000000,115.000000
1552758691,236,115,52.126808,10,22.160225,51.000000,67.000000,93.000000,101.000000,102.000000,115.000000
1552758701,247,115,52.892270,10,21.982623,51.000000,67.000000,91.000000,101.000000,102.000000,115.000000
1552758711,268,115,52.680548,10,21.582943,51.000000,67.000000,91.000000,100.000000,102.000000,115.000000
1552758721,309,115,53.343420,10,21.613930,52.000000,67.000000,98.000000,101.000000,103.000000,115.000000
1552758731,322,133,53.141376,10,22.463044,52.000000,67.000000,98.000000,102.000000,103.000000,133.000000
1552758741,337,133,53.303475,10,22.305889,52.000000,67.000000,99.000000,102.000000,103.000000,133.000000
1552758751,338,133,53.103090,10,22.330310,52.000000,67.000000,98.000000,102.000000,103.000000,133.000000
1552758761,375,133,53.116286,10,21.979722,51.000000,67.000000,99.000000,103.000000,115.000000,133.000000
1552758771,425,133,52.390731,10,20.956397,51.000000,67.000000,84.000000,102.000000,107.000000,133.000000
1552758781,446,133,52.951343,10,20.995619,51.000000,67.000000,85.000000,102.000000,107.000000,133.000000
1552758791,446,133,52.951343,10,20.995619,51.000000,67.000000,85.000000,102.000000,107.000000,133.000000
1552758801,453,440,55.897697,10,39.582462,51.000000,67.000000,98.000000,103.000000,115.000000,440.000000
1552758811,475,440,56.883851,10,38.080611,51.000000,67.000000,100.000000,111.000000,127.000000,440.000000
1552758821,487,440,56.149596,10,36.782760,51.000000,67.000000,100.000000,107.000000,127.000000,440.000000
1552758831,496,440,55.857896,10,35.922234,51.000000,67.000000,100.000000,103.000000,127.000000,440.000000
1552758841,528,440,57.045395,10,35.592921,51.000000,67.000000,102.000000,122.000000,159.000000,440.000000
1552758851,529,440,57.099300,10,35.459958,51.000000,67.000000,101.000000,122.000000,159.000000,440.000000
1552758861,529,440,57.099300,10,35.459958,51.000000,67.000000,101.000000,122.000000,159.000000,440.000000
1552758871,529,440,57.099300,10,35.459958,51.000000,67.000000,101.000000,122.000000,159.000000,440.000000
1552758881,529,440,57.099300,10,35.459958,51.000000,67.000000,101.000000,122.000000,159.000000,440.000000
1552758891,529,440,57.099300,10,35.459958,51.000000,67.000000,101.000000,122.000000,159.000000,440.000000
