t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758607,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758617,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758627,3,990,416.480561,58,415.972353,177.000000,990.000000,990.000000,990.000000,990.000000,990.000000
1552758637,3,990,416.480561,58,415.972353,177.000000,990.000000,990.000000,990.000000,990.000000,990.000000
1552758647,3,990,416.480561,58,415.972353,177.000000,990.000000,990.000000,990.000000,990.000000,990.000000
1552758657,5,990,303.215013,18,336.112663,177.000000,354.000000,990.000000,990.000000,990.000000,990.000000
1552758667,5,990,303.215013,18,336.112663,177.000000,354.000000,990.000000,990.000000,990.000000,990.000000
1552758677,5,990,303.215013,18,336.112663,177.000000,354.000000,990.000000,990.000000,990.000000,990.000000
1552758687,10,990,411.415058,18,266.612337,447.000000,582.000000,990.000000,990.000000,990.000000,990.000000
1552758697,10,990,411.415058,18,266.612337,447.000000,582.000000,990.000000,990.000000,990.000000,990.000000
1552758707,10,990,411.415058,18,266.612337,447.000000,582.000000,990.000000,990.000000,990.000000,990.000000
1552758717,11,990,351.094813,18,277.669528,354.000000,582.000000,664.000000,990.000000,990.000000,990.000000
1552758727,16,990,387.445454,18,311.251236,447.000000,629.000000,916.000000,990.000000,990.000000,990.000000
1552758737,23,990,405.575736,18,316.447892,509.000000,629.000000,916.000000,916.000000,990.000000,990.000000
1552758747,23,990,405.575736,18,316.447892,509.000000,629.000000,916.000000,916.000000,990.000000,990.000000
1552758757,28,990,438.910494,18,300.997027,516.000000,699.000000,885.000000,916.000000,916.000000,990.000000
1552758767,28,990,438.910494,18,300.997027,516.000000,699.000000,885.000000,916.000000,916.000000,990.000000
1552758777,28,990,438.910494,18,300.997027,516.000000,699.000000,885.000000,916.000000,916.000000,990.000000
1552758787,28,990,438.910494,18,300.997027,516.000000,699.000000,885.000000,916.000000,916.000000,990.000000
1552758797,28,990,438.910494,18,300.997027,516.000000,699.000000,885.000000,916.000000,916.000000,990.000000
1552758807,35,990,464.104262,18,286.980273,483.000000,699.000000,803.000000,916.000000,916.000000,990.000000
1552758817,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758827,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758837,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758847,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758857,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758867,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758877,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758887,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758897,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758907,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758917,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758949,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758949,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
1552758949,37,990,439.765773,5,292.147775,483.000000,629.000000,803.000000,916.000000,916.000000,990.000000
