t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758611,3,277,97.703649,3,125.492791,17.000000,277.000000,277.000000,277.000000,277.000000,277.000000
1552758621,5,277,58.325631,1,107.670784,3.000000,17.000000,277.000000,277.000000,277.000000,277.000000
1552758631,9,277,33.685695,1,80.135234,3.000000,17.000000,277.000000,277.000000,277.000000,277.000000
1552758641,13,277,21.666965,1,65.010021,3.000000,6.000000,277.000000,277.000000,277.000000,277.000000
1552758651,20,277,13.313628,1,49.982061,2.000000,5.000000,26.000000,277.000000,277.000000,277.000000
1552758661,21,277,12.865740,1,48.459167,2.000000,6.000000,26.000000,277.000000,277.000000,277.000000
1552758671,21,277,12.865740,1,48.459167,2.000000,6.000000,26.000000,277.000000,277.000000,277.000000
1552758681,21,277,12.865740,1,48.459167,2.000000,6.000000,26.000000,277.000000,277.000000,277.000000
1552758691,21,277,12.865740,1,48.459167,2.000000,6.000000,26.000000,277.000000,277.000000,277.000000
1552758701,21,277,12.865740,1,48.459167,2.000000,6.000000,26.000000,277.000000,277.000000,277.000000
1552758711,21,277,12.865740,1,48.459167,2.000000,6.000000,26.000000,277.000000,277.000000,277.000000
1552758721,21,277,12.865740,1,48.459167,2.000000,6.000000,26.000000,277.000000,277.000000,277.000000
1552758731,21,277,12.865740,1,48.459167,2.000000,6.000000,26.000000,277.000000,277.000000,277.000000
1552758741,23,277,10.230571,1,40.313327,2.000000,7.000000,26.000000,277.000000,277.000000,277.000000
1552758751,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758761,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758771,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758781,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758791,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758801,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758811,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758821,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758831,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758841,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758851,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758861,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
1552758871,25,277,8.197476,1,35.161348,2.000000,6.000000,17.000000,26.000000,277.000000,277.000000
