t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552760293,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552760303,2,5,3.089939,1,1.997977,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1552760313,5,5,2.634562,1,1.599063,2.000000,4.000000,5.000000,5.000000,5.000000,5.000000
1552760323,6,61,13.947173,1,23.116049,4.000000,5.000000,61.000000,61.000000,61.000000,61.000000
1552760333,8,61,10.607253,1,19.713918,4.000000,5.000000,61.000000,61.000000,61.000000,61.000000
1552760343,10,61,8.381997,1,17.388628,2.000000,5.000000,61.000000,61.000000,61.000000,61.000000
1552760353,15,61,8.821191,1,16.513272,2.000000,5.000000,61.000000,61.000000,61.000000,61.000000
1552760363,18,61,8.420803,1,14.954501,2.000000,5.000000,39.000000,61.000000,61.000000,61.000000
1552760373,18,61,8.420803,1,14.954501,2.000000,5.000000,39.000000,61.000000,61.000000,61.000000
1552760383,19,61,7.663516,1,14.347868,2.000000,4.000000,39.000000,61.000000,61.000000,61.000000
1552760393,26,73,12.029174,1,19.672893,2.000000,15.000000,73.000000,73.000000,73.000000,73.000000
1552760403,31,73,9.370088,1,17.515013,2.000000,5.000000,61.000000,73.000000,73.000000,73.000000
1552760413,31,73,9.370088,1,17.515013,2.000000,5.000000,61.000000,73.000000,73.000000,73.000000
1552760423,31,73,9.370088,1,17.515013,2.000000,5.000000,61.000000,73.000000,73.000000,73.000000
1552760433,32,73,8.746613,1,16.992770,2.000000,5.000000,61.000000,73.000000,73.000000,73.000000
1552760443,32,73,8.746613,1,16.992770,2.000000,5.000000,61.000000,73.000000,73.000000,73.000000
1552760453,32,73,8.746613,1,16.992770,2.000000,5.000000,61.000000,73.000000,73.000000,73.000000
1552760463,34,73,7.461041,1,15.516200,2.000000,3.000000,39.000000,73.000000,73.000000,73.000000
1552760473,34,73,7.461041,1,15.516200,2.000000,3.000000,39.000000,73.000000,73.000000,73.000000
1552760483,34,73,7.461041,1,15.516200,2.000000,3.000000,39.000000,73.000000,73.000000,73.000000
1552760493,34,73,7.461041,1,15.516200,2.000000,3.000000,39.000000,73.000000,73.000000,73.000000
1552760503,34,73,7.461041,1,15.516200,2.000000,3.000000,39.000000,73.000000,73.000000,73.000000
1552760513,34,73,7.461041,1,15.516200,2.000000,3.000000,39.000000,73.000000,73.000000,73.000000
