t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758641,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552758651,1,10,10.000000,10,0.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1552758661,3,416,165.794238,10,187.098671,40.000000,416.000000,416.000000,416.000000,416.000000,416.000000
1552758671,5,632,241.163873,10,258.126604,40.000000,416.000000,632.000000,632.000000,632.000000,632.000000
1552758681,9,982,376.374608,10,360.097837,198.000000,768.000000,982.000000,982.000000,982.000000,982.000000
1552758691,17,982,478.929738,10,276.924173,516.000000,752.000000,982.000000,982.000000,982.000000,982.000000
1552758701,23,982,433.054608,10,295.343498,514.000000,632.000000,819.000000,982.000000,982.000000,982.000000
1552758711,28,982,464.719083,10,285.218983,517.000000,699.000000,866.000000,982.000000,982.000000,982.000000
1552758721,29,982,443.989952,10,292.423932,516.000000,699.000000,866.000000,982.000000,982.000000,982.000000
1552758731,34,982,461.944372,10,287.314106,520.000000,649.000000,866.000000,982.000000,982.000000,982.000000
1552758741,34,982,461.944372,10,287.314106,520.000000,649.000000,866.000000,982.000000,982.000000,982.000000
1552758751,40,982,452.582070,10,276.274640,520.000000,649.000000,819.000000,866.000000,982.000000,982.000000
1552758761,40,982,452.582070,10,276.274640,520.000000,649.000000,819.000000,866.000000,982.000000,982.000000
1552758771,40,982,452.582070,10,276.274640,520.000000,649.000000,819.000000,866.000000,982.000000,982.000000
1552758781,40,982,452.582070,10,276.274640,520.000000,649.000000,819.000000,866.000000,982.000000,982.000000
1552758791,42,982,430.133886,10,278.800599,520.000000,595.000000,819.000000,866.000000,982.000000,982.000000
1552758801,46,999,495.411476,10,282.472278,532.000000,685.000000,999.000000,999.000000,999.000000,999.000000
1552758811,48,999,547.100014,10,296.693391,550.000000,775.000000,999.000000,999.000000,999.000000,999.000000
1552758821,50,999,562.296753,10,283.645801,550.000000,797.000000,982.000000,999.000000,999.000000,999.000000
1552758831,50,999,562.296753,10,283.645801,550.000000,797.000000,982.000000,999.000000,999.000000,999.000000
1552758841,50,999,562.296753,10,283.645801,550.000000,797.000000,982.000000,999.000000,999.000000,999.000000
1552758851,50,999,562.296753,10,283.645801,550.000000,797.000000,982.000000,999.000000,999.000000,999.000000
1552758861,50,999,562.296753,10,283.645801,550.000000,797.000000,982.000000,999.000000,999.000000,999.000000
1552758871,50,999,562.296753,10,283.645801,550.000000,797.000000,982.000000,999.000000,999.000000,999.000000
