t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758601,54,84,32.981114,1,17.703620,33.000000,44.000000,65.000000,73.000000,84.000000,84.000000
1552758611,54,84,32.981114,1,17.703620,33.000000,44.000000,65.000000,73.000000,84.000000,84.000000
1552758621,54,84,32.981114,1,17.703620,33.000000,44.000000,65.000000,73.000000,84.000000,84.000000
1552758631,102,914,53.642394,1,98.667770,36.000000,53.000000,84.000000,162.000000,914.000000,914.000000
1552758641,153,914,52.711329,1,76.407092,39.000000,66.000000,83.000000,121.000000,162.000000,914.000000
1552758651,178,914,54.908786,1,69.290771,50.000000,67.000000,85.000000,100.000000,162.000000,914.000000
1552758661,210,914,51.980440,1,62.120152,43.000000,66.000000,83.000000,100.000000,121.000000,914.000000
1552758671,227,914,52.912285,1,58.403281,49.000000,67.000000,82.000000,100.000000,121.000000,914.000000
1552758681,240,914,53.882903,1,55.791288,50.000000,67.000000,83.000000,99.000000,121.000000,914.000000
1552758691,240,914,53.882903,1,55.791288,50.000000,67.000000,83.000000,99.000000,121.000000,914.000000
1552758701,282,914,52.641636,1,47.750682,50.000000,67.000000,82.000000,92.000000,100.000000,914.000000
1552758711,318,914,53.942093,1,43.020182,51.000000,67.000000,83.000000,95.000000,100.000000,914.000000
1552758721,339,914,55.369000,1,41.045130,61.000000,67.000000,88.000000,100.000000,116.000000,914.000000
1552758731,341,914,55.535380,1,40.745776,62.000000,67.000000,88.000000,100.000000,116.000000,914.000000
1552758741,377,914,56.972011,1,36.855375,64.000000,67.000000,95.000000,100.000000,101.000000,914.000000
1552758751,409,914,55.958930,1,34.718879,63.000000,67.000000,95.000000,101.000000,116.000000,914.000000
1552758761,417,914,56.450690,1,34.288611,63.000000,67.000000,99.000000,101.000000,116.000000,162.000000
1552758771,434,914,56.698468,1,32.875613,65.000000,67.000000,96.000000,101.000000,116.000000,162.000000
1552758781,449,914,56.752957,1,32.284836,65.000000,67.000000,99.000000,116.000000,117.000000,162.000000
1552758791,465,914,55.128522,1,31.122893,63.000000,67.000000,97.000000,101.000000,117.000000,162.000000
1552758801,489,914,53.103181,1,29.923866,54.000000,67.000000,96.000000,100.000000,117.000000,162.000000
1552758811,509,914,55.572758,1,35.416009,54.000000,67.000000,100.000000,117.000000,156.000000,268.000000
1552758821,561,914,54.822634,1,32.543889,52.000000,67.000000,100.000000,115.000000,156.000000,268.000000
1552758831,597,914,55.337020,1,31.662848,53.000000,67.000000,100.000000,117.000000,123.000000,268.000000
1552758841,604,914,55.311177,1,31.068112,52.000000,67.000000,100.000000,117.000000,123.000000,268.000000
1552758851,615,914,55.390288,1,30.357376,52.000000,67.000000,100.000000,117.000000,123.000000,268.000000
1552758861,615,914,55.390288,1,30.357376,52.000000,67.000000,100.000000,117.000000,123.000000,268.000000
1552758871,634,914,55.184169,1,29.589941,52.000000,67.000000,100.000000,117.000000,125.000000,268.000000
