t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552760292,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552760302,2,513,464.613562,414,49.487473,513.000000,513.000000,513.000000,513.000000,513.000000,513.000000
1552760312,3,513,370.415730,207,130.180349,414.000000,513.000000,513.000000,513.000000,513.000000,513.000000
1552760322,4,513,314.604525,173,141.629780,207.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760332,4,513,314.604525,173,141.629780,207.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760342,4,513,314.604525,173,141.629780,207.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760352,4,513,314.604525,173,141.629780,207.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760362,5,513,236.881189,86,158.006706,173.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760372,5,513,236.881189,86,158.006706,173.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760382,5,513,236.881189,86,158.006706,173.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760392,5,513,236.881189,86,158.006706,173.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760402,5,513,236.881189,86,158.006706,173.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760412,5,513,236.881189,86,158.006706,173.000000,414.000000,513.000000,513.000000,513.000000,513.000000
1552760422,6,871,532.754911,86,336.741744,513.000000,871.000000,871.000000,871.000000,871.000000,871.000000
