t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552760253,131,43,9.732011,-1,6.172058,10.000000,13.000000,19.000000,25.000000,25.000000,43.000000
1552760263,416,43,9.574111,-2,6.114697,9.000000,13.000000,19.000000,24.000000,26.000000,43.000000
1552760273,687,43,9.293600,-2,6.239848,9.000000,13.000000,18.000000,24.000000,36.000000,43.000000
1552760283,957,54,9.170261,-2,6.675474,9.000000,13.000000,18.000000,24.000000,38.000000,54.000000
1552760293,1155,54,9.130710,-2,6.530169,9.000000,13.000000,18.000000,23.000000,36.000000,54.000000
1552760303,1289,54,9.048914,-2,6.350716,9.000000,13.000000,18.000000,23.000000,31.000000,54.000000
1552760313,1354,54,9.140921,-2,6.643791,9.000000,13.000000,18.000000,23.000000,35.000000,54.000000
1552760323,1377,49,9.255384,-2,6.544131,9.000000,13.000000,19.000000,24.000000,34.000000,44.000000
1552760333,1401,49,9.234166,-2,6.537516,9.000000,13.000000,19.000000,24.000000,34.000000,44.000000
1552760343,1413,49,9.174939,-2,6.504576,9.000000,13.000000,19.000000,24.000000,34.000000,44.000000
1552760353,1423,49,9.177342,-2,6.451391,9.000000,13.000000,18.000000,24.000000,34.000000,44.000000
1552760363,1449,49,9.188088,-2,6.340431,9.000000,13.000000,18.000000,23.000000,34.000000,44.000000
1552760373,1518,49,9.082606,-2,5.977792,9.000000,13.000000,18.000000,22.000000,29.000000,44.000000
1552760383,1554,49,8.979120,-2,5.783822,9.000000,12.000000,17.000000,22.000000,29.000000,44.000000
1552760393,1602,44,8.568031,-2,5.737552,9.000000,12.000000,17.000000,21.000000,24.000000,42.000000
1552760403,1629,44,8.607598,-2,5.907909,9.000000,12.000000,17.000000,22.000000,26.000000,42.000000
1552760413,1658,44,8.715961,-2,6.289579,9.000000,12.000000,18.000000,25.000000,29.000000,42.000000
1552760423,1675,44,8.818565,-2,6.390879,9.000000,13.000000,18.000000,26.000000,26.000000,42.000000
