t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552760253,79,75,11.152383,1,10.517036,10.000000,13.000000,20.000000,66.000000,75.000000,75.000000
1552760263,156,75,9.566303,-1,8.271238,9.000000,13.000000,17.000000,21.000000,66.000000,75.000000
1552760273,234,75,9.605872,-1,7.550724,9.000000,13.000000,17.000000,20.000000,42.000000,75.000000
1552760283,248,75,9.329640,-1,7.442625,9.000000,13.000000,17.000000,20.000000,42.000000,75.000000
1552760293,317,75,9.172229,-1,6.915571,9.000000,13.000000,17.000000,21.000000,24.000000,75.000000
1552760303,329,75,9.145821,-2,6.845661,9.000000,13.000000,17.000000,20.000000,24.000000,75.000000
1552760313,419,75,9.271311,-2,6.987422,9.000000,13.000000,18.000000,22.000000,24.000000,75.000000
1552760323,463,75,9.123897,-2,6.775562,9.000000,13.000000,18.000000,22.000000,25.000000,75.000000
1552760333,497,75,9.048871,-2,6.873105,8.000000,13.000000,18.000000,22.000000,25.000000,75.000000
1552760343,526,75,9.286301,-2,7.420532,8.000000,13.000000,18.000000,24.000000,41.000000,66.000000
1552760353,567,75,9.177762,-2,7.017885,9.000000,13.000000,17.000000,24.000000,41.000000,66.000000
1552760363,614,75,8.948143,-2,6.782183,8.000000,13.000000,17.000000,22.000000,40.000000,66.000000
1552760373,637,75,9.014512,-2,6.694070,9.000000,13.000000,17.000000,21.000000,40.000000,66.000000
1552760383,682,75,8.533291,-2,6.467049,8.000000,13.000000,17.000000,21.000000,25.000000,66.000000
1552760393,711,75,8.314811,-2,6.221548,8.000000,12.000000,16.000000,20.000000,24.000000,53.000000
1552760403,769,75,8.553071,-2,5.976716,8.000000,12.000000,17.000000,21.000000,25.000000,53.000000
1552760413,827,75,8.781878,-2,6.993549,8.000000,12.000000,20.000000,26.000000,41.000000,53.000000
1552760423,892,75,9.107531,-2,7.296170,8.000000,13.000000,21.000000,29.000000,39.000000,53.000000
