t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758605,1,118,118.000000,118,0.000000,118.000000,118.000000,118.000000,118.000000,118.000000,118.000000
1552758615,2,338,237.873356,118,109.555999,338.000000,338.000000,338.000000,338.000000,338.000000,338.000000
1552758625,3,338,181.520779,87,113.340005,118.000000,338.000000,338.000000,338.000000,338.000000,338.000000
1552758635,4,814,378.986398,87,307.791431,338.000000,814.000000,814.000000,814.000000,814.000000,814.000000
1552758645,4,814,378.986398,87,307.791431,338.000000,814.000000,814.000000,814.000000,814.000000,814.000000
1552758655,5,814,282.167843,27,305.585121,118.000000,338.000000,814.000000,814.000000,814.000000,814.000000
1552758665,5,814,282.167843,27,305.585121,118.000000,338.000000,814.000000,814.000000,814.000000,814.000000
1552758675,5,814,282.167843,27,305.585121,118.000000,338.000000,814.000000,814.000000,814.000000,814.000000
1552758685,5,814,282.167843,27,305.585121,118.000000,338.000000,814.000000,814.000000,814.000000,814.000000
1552758695,5,814,282.167843,27,305.585121,118.000000,338.000000,814.000000,814.000000,814.000000,814.000000
1552758705,5,814,282.167843,27,305.585121,118.000000,338.000000,814.000000,814.000000,814.000000,814.000000
1552758715,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758725,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758735,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758745,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758755,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758765,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758775,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758785,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758795,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758805,6,814,403.334265,27,273.458882,572.000000,572.000000,814.000000,814.000000,814.000000,814.000000
1552758815,7,814,504.566205,27,175.568538,557.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758825,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758835,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758845,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758855,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758865,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758875,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758885,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758895,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758905,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758915,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758948,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758949,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
1552758950,8,814,470.582163,27,140.670255,422.000000,557.000000,572.000000,814.000000,814.000000,814.000000
