t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552760286,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552760296,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552760306,2,9,8.488752,8,0.499873,8.000000,9.000000,9.000000,9.000000,9.000000,9.000000
1552760316,3,21,13.239041,8,6.084554,9.000000,21.000000,21.000000,21.000000,21.000000,21.000000
1552760326,3,21,13.239041,8,6.084554,9.000000,21.000000,21.000000,21.000000,21.000000,21.000000
1552760336,3,21,13.239041,8,6.084554,9.000000,21.000000,21.000000,21.000000,21.000000,21.000000
1552760346,4,21,14.603351,8,5.182827,17.000000,17.000000,21.000000,21.000000,21.000000,21.000000
1552760356,5,21,15.906954,8,4.788458,17.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760366,5,21,15.906954,8,4.788458,17.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760376,5,21,15.906954,8,4.788458,17.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760386,6,21,12.010565,4,6.829223,9.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760396,6,21,12.010565,4,6.829223,9.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760406,6,21,12.010565,4,6.829223,9.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760416,6,21,12.010565,4,6.829223,9.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760426,6,21,12.010565,4,6.829223,9.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760436,6,21,12.010565,4,6.829223,9.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760446,6,21,12.010565,4,6.829223,9.000000,19.000000,21.000000,21.000000,21.000000,21.000000
1552760456,7,21,12.979390,4,4.991487,14.000000,14.000000,21.000000,21.000000,21.000000,21.000000
1552760466,7,21,12.979390,4,4.991487,14.000000,14.000000,21.000000,21.000000,21.000000,21.000000
1552760476,8,21,11.022256,4,4.586628,8.000000,14.000000,19.000000,21.000000,21.000000,21.000000
1552760486,8,21,11.022256,4,4.586628,8.000000,14.000000,19.000000,21.000000,21.000000,21.000000
1552760496,8,21,11.022256,4,4.586628,8.000000,14.000000,19.000000,21.000000,21.000000,21.000000
1552760506,8,21,11.022256,4,4.586628,8.000000,14.000000,19.000000,21.000000,21.000000,21.000000
1552760516,8,21,11.022256,4,4.586628,8.000000,14.000000,19.000000,21.000000,21.000000,21.000000
