t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758634,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758644,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758654,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758664,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758674,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758684,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758694,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758704,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758714,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758724,2,15,14.496250,14,0.499986,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000
1552758734,3,15,13.449810,13,0.738817,13.000000,14.000000,15.000000,15.000000,15.000000,15.000000
1552758744,6,15,13.600795,13,0.572053,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000
1552758754,6,15,13.600795,13,0.572053,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000
1552758764,6,15,13.600795,13,0.572053,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000
1552758774,6,15,13.600795,13,0.572053,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000
1552758784,7,15,13.722828,13,0.510915,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000
1552758794,12,50,18.491976,13,11.887996,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758804,17,50,16.852748,13,9.248693,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758814,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758824,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758834,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758844,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758854,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758864,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758874,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758884,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
1552758894,18,50,17.713608,13,9.288478,14.000000,15.000000,50.000000,50.000000,50.000000,50.000000
