t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552758615,19,-4,-11.796588,-23,5.734114,-10.000000,-7.000000,-4.000000,-4.000000,-4.000000,-4.000000
1552758625,244,28,-13.194098,-24,6.875372,-13.000000,-9.000000,-5.000000,4.000000,13.000000,28.000000
1552758635,415,28,-13.269091,-24,7.183070,-14.000000,-9.000000,-3.000000,7.000000,13.000000,28.000000
1552758645,470,28,-13.631792,-24,6.917461,-14.000000,-10.000000,-4.000000,4.000000,13.000000,28.000000
1552758655,500,28,-13.753900,-24,6.797401,-14.000000,-10.000000,-4.000000,3.000000,12.000000,28.000000
1552758665,512,28,-13.694134,-24,6.871600,-14.000000,-10.000000,-4.000000,4.000000,13.000000,28.000000
1552758675,546,28,-14.078157,-25,6.718362,-15.000000,-10.000000,-5.000000,3.000000,13.000000,28.000000
1552758685,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758695,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758705,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758715,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758725,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758735,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758745,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758755,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758765,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758775,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758785,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758795,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758805,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758815,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758825,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758835,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758845,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758855,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
1552758865,602,28,-14.426070,-26,6.667777,-15.000000,-11.000000,-5.000000,2.000000,12.000000,28.000000
