t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552609708,1,176,176.000000,176,0.000000,176.000000,176.000000,176.000000,176.000000,176.000000,176.000000
1552609718,2,956,603.904965,176,388.153595,956.000000,956.000000,956.000000,956.000000,956.000000,956.000000
1552609728,3,956,364.899713,1,421.794771,176.000000,956.000000,956.000000,956.000000,956.000000,956.000000
1552609738,3,956,364.899713,1,421.794771,176.000000,956.000000,956.000000,956.000000,956.000000,956.000000
1552609748,3,956,364.899713,1,421.794771,176.000000,956.000000,956.000000,956.000000,956.000000,956.000000
1552609758,3,956,364.899713,1,421.794771,176.000000,956.000000,956.000000,956.000000,956.000000,956.000000
1552609768,3,956,364.899713,1,421.794771,176.000000,956.000000,956.000000,956.000000,956.000000,956.000000
1552609778,3,956,364.899713,1,421.794771,176.000000,956.000000,956.000000,956.000000,956.000000,956.000000
1552609788,3,956,364.899713,1,421.794771,176.000000,956.000000,956.000000,956.000000,956.000000,956.000000
1552609798,5,956,331.441476,1,359.059459,176.000000,650.000000,956.000000,956.000000,956.000000,956.000000
1552609808,5,956,331.441476,1,359.059459,176.000000,650.000000,956.000000,956.000000,956.000000,956.000000
1552609818,5,956,331.441476,1,359.059459,176.000000,650.000000,956.000000,956.000000,956.000000,956.000000
1552609828,5,956,331.441476,1,359.059459,176.000000,650.000000,956.000000,956.000000,956.000000,956.000000
1552609838,5,956,331.441476,1,359.059459,176.000000,650.000000,956.000000,956.000000,956.000000,956.000000
1552609848,5,956,331.441476,1,359.059459,176.000000,650.000000,956.000000,956.000000,956.000000,956.000000
1552609858,7,956,428.210286,1,256.895020,349.000000,634.000000,650.000000,956.000000,956.000000,956.000000
1552609868,7,956,428.210286,1,256.895020,349.000000,634.000000,650.000000,956.000000,956.000000,956.000000
1552609878,8,956,383.612425,1,226.462361,349.000000,634.000000,650.000000,956.000000,956.000000,956.000000
1552609888,9,956,297.902749,1,245.161217,277.000000,349.000000,650.000000,956.000000,956.000000,956.000000
1552609898,11,956,389.835689,1,292.975431,277.000000,634.000000,845.000000,845.000000,956.000000,956.000000
1552609908,11,956,389.835689,1,292.975431,277.000000,634.000000,845.000000,845.000000,956.000000,956.000000
1552609918,12,956,318.164265,1,298.383339,239.000000,634.000000,845.000000,845.000000,956.000000,956.000000
1552609928,13,956,406.584565,1,330.605469,277.000000,815.000000,845.000000,845.000000,845.000000,956.000000
