t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552610416,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610426,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610436,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610446,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610456,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610466,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610476,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610486,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610496,1,111,111.000000,111,0.000000,111.000000,111.000000,111.000000,111.000000,111.000000,111.000000
1552610506,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610516,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610526,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610536,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610546,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610556,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610566,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610576,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610586,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610596,2,111,26.028130,4,43.263973,4.000000,4.000000,111.000000,111.000000,111.000000,111.000000
1552610606,3,111,18.911582,4,20.246622,17.000000,17.000000,17.000000,111.000000,111.000000,111.000000
1552610616,3,111,18.911582,4,20.246622,17.000000,17.000000,17.000000,111.000000,111.000000,111.000000
1552610626,3,111,18.911582,4,20.246622,17.000000,17.000000,17.000000,111.000000,111.000000,111.000000
1552610636,3,111,18.911582,4,20.246622,17.000000,17.000000,17.000000,111.000000,111.000000,111.000000
1552610646,3,111,18.911582,4,20.246622,17.000000,17.000000,17.000000,111.000000,111.000000,111.000000
1552610656,3,111,18.911582,4,20.246622,17.000000,17.000000,17.000000,111.000000,111.000000,111.000000
1552610666,3,111,18.911582,4,20.246622,17.000000,17.000000,17.000000,111.000000,111.000000,111.000000
1552610676,3,111,18.911582,4,20.246622,17.000000,17.000000,17.000000,111.000000,111.000000,111.000000
1552610686,4,111,8.167384,4,12.622929,4.000000,4.000000,17.000000,17.000000,111.000000,111.000000
1552610696,4,111,8.167384,4,12.622929,4.000000,4.000000,17.000000,17.000000,111.000000,111.000000
