t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552261740,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1552261750,1,16,16.000000,16,0.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000
1552261760,1,16,16.000000,16,0.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000
1552261770,3,16,9.914506,1,6.666168,14.000000,16.000000,16.000000,16.000000,16.000000,16.000000
1552261780,3,16,9.914506,1,6.666168,14.000000,16.000000,16.000000,16.000000,16.000000,16.000000
1552261790,3,16,9.914506,1,6.666168,14.000000,16.000000,16.000000,16.000000,16.000000,16.000000
1552261800,3,16,9.914506,1,6.666168,14.000000,16.000000,16.000000,16.000000,16.000000,16.000000
1552261810,7,46,12.053735,1,17.098337,2.000000,16.000000,46.000000,46.000000,46.000000,46.000000
1552261820,10,46,8.140972,1,14.403034,2.000000,2.000000,46.000000,46.000000,46.000000,46.000000
1552261830,13,46,5.925349,1,12.409496,1.000000,2.000000,46.000000,46.000000,46.000000,46.000000
1552261840,13,46,5.925349,1,12.409496,1.000000,2.000000,46.000000,46.000000,46.000000,46.000000
1552261850,15,46,7.334080,1,12.198345,2.000000,2.000000,46.000000,46.000000,46.000000,46.000000
1552261860,17,46,6.103855,1,11.232906,1.000000,2.000000,46.000000,46.000000,46.000000,46.000000
1552261870,19,46,7.425530,1,11.622572,2.000000,2.000000,25.000000,46.000000,46.000000,46.000000
1552261880,19,46,7.425530,1,11.622572,2.000000,2.000000,25.000000,46.000000,46.000000,46.000000
1552261890,19,46,7.425530,1,11.622572,2.000000,2.000000,25.000000,46.000000,46.000000,46.000000
1552261901,19,46,7.425530,1,11.622572,2.000000,2.000000,25.000000,46.000000,46.000000,46.000000
1552261911,19,46,7.425530,1,11.622572,2.000000,2.000000,25.000000,46.000000,46.000000,46.000000
1552261920,19,46,7.425530,1,11.622572,2.000000,2.000000,25.000000,46.000000,46.000000,46.000000
1552261931,19,46,7.425530,1,11.622572,2.000000,2.000000,25.000000,46.000000,46.000000,46.000000
