t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1552325020,1,1,1.000000,1,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1552325030,4,1,0.239798,0,0.426960,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
1552325040,4,1,0.239798,0,0.426960,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
1552325050,5,8,2.360639,0,3.477451,0.000000,8.000000,8.000000,8.000000,8.000000,8.000000
1552325060,8,10,2.896642,0,4.179380,0.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325070,8,10,2.896642,0,4.179380,0.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325080,8,10,2.896642,0,4.179380,0.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325090,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325100,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325110,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325120,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325130,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325140,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325150,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325160,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325170,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325180,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325190,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325200,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325210,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325220,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325230,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325240,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325250,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325260,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325270,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325280,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325290,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325300,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325310,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325320,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325330,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325340,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325350,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1552325360,9,10,2.549201,0,3.847817,1.000000,8.000000,10.000000,10.000000,10.000000,10.000000
