t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554663186,250,84,35.073563,13,9.981710,33.000000,34.000000,56.000000,66.000000,70.000000,84.000000
1554663196,529,84,35.465847,11,10.035575,33.000000,34.000000,56.000000,67.000000,67.000000,84.000000
1554663206,810,84,35.507296,11,10.152668,33.000000,34.000000,59.000000,67.000000,67.000000,83.000000
1554663216,1079,100,36.041081,11,10.901704,33.000000,34.000000,66.000000,67.000000,68.000000,100.000000
1554663226,1356,100,36.341773,11,11.352629,33.000000,34.000000,66.000000,67.000000,68.000000,100.000000
1554663236,1633,100,36.341453,11,11.318741,33.000000,34.000000,67.000000,67.000000,69.000000,85.000000
1554663246,1907,100,36.461063,5,11.442909,33.000000,34.000000,67.000000,67.000000,70.000000,85.000000
1554663256,2183,85,36.374613,5,11.210282,33.000000,34.000000,66.000000,67.000000,70.000000,84.000000
1554663266,2459,85,36.191786,1,10.897268,33.000000,34.000000,66.000000,67.000000,68.000000,84.000000
1554663276,2731,85,36.461529,1,11.229470,33.000000,34.000000,67.000000,67.000000,67.000000,83.000000
1554663286,3006,85,36.683796,1,11.474175,33.000000,34.000000,67.000000,67.000000,67.000000,83.000000
1554663296,3285,85,36.363444,1,11.106978,33.000000,34.000000,67.000000,67.000000,67.000000,83.000000
1554663306,3556,85,36.738730,1,11.303419,33.000000,34.000000,67.000000,67.000000,67.000000,83.000000
1554663316,3831,85,36.792674,1,11.305613,33.000000,34.000000,67.000000,67.000000,67.000000,83.000000
1554663326,4100,85,36.695877,1,10.906589,33.000000,34.000000,67.000000,67.000000,67.000000,83.000000
1554663336,4370,85,36.710664,5,10.911499,33.000000,34.000000,67.000000,67.000000,67.000000,83.000000
1554663346,4637,85,37.010110,4,11.320590,33.000000,34.000000,67.000000,67.000000,67.000000,83.000000
