t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554650569,225,109,2.882778,0,9.268910,0.000000,0.000000,16.000000,22.000000,33.000000,109.000000
1554650579,453,133,4.324366,0,14.361790,0.000000,0.000000,22.000000,44.000000,89.000000,133.000000
1554650589,662,133,4.457369,0,13.123030,0.000000,0.000000,22.000000,44.000000,63.000000,133.000000
1554650599,861,133,4.994855,0,13.961035,0.000000,0.000000,22.000000,44.000000,71.000000,133.000000
1554650609,1071,133,4.948149,0,13.233174,0.000000,0.000000,23.000000,44.000000,63.000000,123.000000
1554650619,1299,133,4.683535,0,11.770368,0.000000,0.000000,22.000000,44.000000,47.000000,123.000000
1554650629,1505,133,4.741116,0,11.092614,0.000000,11.000000,22.000000,44.000000,47.000000,112.000000
1554650639,1740,133,4.147735,0,10.356755,0.000000,0.000000,22.000000,40.000000,47.000000,112.000000
1554650649,1964,159,4.436405,0,11.782491,0.000000,0.000000,22.000000,44.000000,47.000000,159.000000
1554650659,2184,159,7.514109,0,21.112384,0.000000,0.000000,44.000000,104.000000,122.000000,159.000000
1554650669,2424,265,12.370048,0,26.716303,0.000000,10.000000,72.000000,104.000000,122.000000,265.000000
1554650679,2657,265,17.245522,0,29.403074,10.000000,11.000000,83.000000,98.000000,122.000000,265.000000
1554650689,2877,151,18.543510,0,28.266694,10.000000,10.000000,85.000000,98.000000,122.000000,151.000000
1554650699,3078,151,20.614583,0,29.090509,10.000000,10.000000,96.000000,98.000000,98.000000,133.000000
1554650709,3297,126,20.566678,0,27.467679,10.000000,10.000000,85.000000,98.000000,98.000000,122.000000
1554650719,3505,126,18.959997,0,25.615640,10.000000,22.000000,83.000000,98.000000,98.000000,122.000000
1554650729,3732,240,24.632289,0,31.581428,10.000000,35.000000,91.000000,98.000000,122.000000,240.000000
1554650739,3985,244,22.749217,0,32.997724,10.000000,29.000000,91.000000,122.000000,126.000000,244.000000
1554650749,4203,184,19.913351,0,29.729932,10.000000,29.000000,85.000000,121.000000,122.000000,184.000000
1554650759,4413,184,16.601241,0,27.890858,2.000000,18.000000,81.000000,98.000000,122.000000,184.000000
1554650769,4634,233,14.153221,0,26.457676,0.000000,11.000000,70.000000,98.000000,122.000000,233.000000
1554650779,4845,233,11.879570,0,24.641526,0.000000,11.000000,65.000000,96.000000,122.000000,233.000000
1554650789,5066,233,10.389805,0,22.607339,0.000000,11.000000,56.000000,87.000000,122.000000,233.000000
1554650799,5265,233,10.061834,0,21.461660,0.000000,11.000000,56.000000,79.000000,98.000000,233.000000
1554650809,5482,233,9.279626,0,20.615987,0.000000,11.000000,48.000000,78.000000,98.000000,184.000000
1554650819,5686,233,8.689861,0,19.077156,0.000000,11.000000,47.000000,70.000000,98.000000,126.000000
1554650829,5889,126,8.088258,0,16.958439,0.000000,11.000000,42.000000,67.000000,95.000000,126.000000
1554650839,6061,126,8.569339,0,17.217111,0.000000,11.000000,45.000000,70.000000,79.000000,126.000000
1554650849,6270,278,9.557349,0,24.568135,0.000000,11.000000,47.000000,85.000000,111.000000,278.000000
