t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554662797,240,101,34.913549,7,10.844135,33.000000,34.000000,66.000000,67.000000,72.000000,101.000000
1554662807,523,101,35.104319,7,10.204415,33.000000,34.000000,66.000000,67.000000,67.000000,101.000000
1554662817,807,101,35.110672,7,9.791073,33.000000,34.000000,66.000000,67.000000,67.000000,101.000000
1554662827,1088,101,35.155703,7,9.261722,33.000000,34.000000,51.000000,67.000000,67.000000,84.000000
1554662837,1366,87,35.320050,1,9.275236,33.000000,34.000000,66.000000,67.000000,67.000000,87.000000
1554662847,1642,87,35.471667,1,9.226893,33.000000,34.000000,66.000000,67.000000,67.000000,87.000000
1554662857,1922,87,35.597150,1,9.403829,33.000000,34.000000,66.000000,67.000000,67.000000,84.000000
1554662867,2206,87,35.541827,13,9.379765,33.000000,34.000000,66.000000,67.000000,67.000000,84.000000
1554662877,2483,87,35.661776,13,9.661173,33.000000,34.000000,66.000000,67.000000,67.000000,74.000000
1554662887,2762,83,35.806976,16,9.996440,33.000000,34.000000,66.000000,67.000000,67.000000,83.000000
1554662897,3037,83,35.899003,10,10.097737,33.000000,34.000000,66.000000,67.000000,67.000000,83.000000
1554662907,3315,83,35.374943,10,9.813098,33.000000,34.000000,66.000000,67.000000,67.000000,83.000000
1554662917,3600,83,35.316485,10,9.306907,33.000000,34.000000,66.000000,67.000000,67.000000,69.000000
1554662927,3885,69,35.165981,10,9.140546,33.000000,34.000000,66.000000,67.000000,67.000000,67.000000
1554662937,4168,67,35.197447,10,9.126806,33.000000,34.000000,66.000000,67.000000,67.000000,67.000000
1554662947,4451,69,35.424526,10,9.287531,33.000000,34.000000,66.000000,67.000000,67.000000,69.000000
1554662957,4733,83,35.330355,10,9.192331,33.000000,34.000000,66.000000,67.000000,67.000000,83.000000
1554662967,5018,83,35.421045,10,9.162690,33.000000,34.000000,66.000000,67.000000,67.000000,83.000000
1554662977,5297,83,35.652066,10,9.473231,33.000000,34.000000,66.000000,67.000000,67.000000,83.000000
1554662987,5581,83,35.142750,10,8.927360,33.000000,34.000000,50.000000,67.000000,67.000000,83.000000
1554662997,5866,83,35.060294,10,9.493389,33.000000,34.000000,50.000000,67.000000,67.000000,83.000000
1554663007,6146,83,35.382099,10,10.262168,33.000000,34.000000,58.000000,67.000000,67.000000,83.000000
1554663017,6434,84,35.344698,10,10.960285,33.000000,34.000000,65.000000,67.000000,67.000000,84.000000
1554663027,6718,84,35.526129,5,11.293004,33.000000,34.000000,66.000000,67.000000,67.000000,84.000000
1554663037,7006,84,35.321872,5,11.085352,33.000000,34.000000,52.000000,67.000000,67.000000,84.000000
1554663047,7284,102,35.303393,1,11.655209,33.000000,34.000000,51.000000,67.000000,67.000000,102.000000
1554663057,7569,102,35.225004,1,11.547753,33.000000,34.000000,51.000000,67.000000,67.000000,102.000000
