t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554662797,226,75,4.827069,0,12.525018,0.000000,0.000000,33.000000,47.000000,63.000000,75.000000
1554662807,494,220,14.340333,0,35.190731,0.000000,11.000000,94.000000,122.000000,161.000000,220.000000
1554662817,774,241,9.747550,0,29.313464,0.000000,0.000000,81.000000,122.000000,133.000000,241.000000
1554662827,1057,241,7.961287,0,26.027447,0.000000,0.000000,47.000000,97.000000,122.000000,241.000000
1554662837,1337,241,6.431694,0,22.068402,0.000000,0.000000,35.000000,94.000000,122.000000,220.000000
1554662847,1618,241,6.027116,0,21.111379,0.000000,0.000000,33.000000,87.000000,122.000000,220.000000
1554662857,1897,220,4.424084,0,16.530953,0.000000,0.000000,22.000000,47.000000,94.000000,208.000000
1554662867,2183,208,3.694784,0,13.291920,0.000000,0.000000,22.000000,41.000000,56.000000,122.000000
1554662877,2466,208,3.528143,0,12.651256,0.000000,0.000000,22.000000,41.000000,56.000000,122.000000
1554662887,2751,208,4.271737,0,13.484352,0.000000,0.000000,22.000000,44.000000,56.000000,122.000000
1554662897,3028,208,3.910217,0,12.146846,0.000000,0.000000,22.000000,43.000000,49.000000,122.000000
1554662907,3306,122,3.300312,0,10.107989,0.000000,0.000000,21.000000,33.000000,44.000000,112.000000
1554662917,3587,122,3.146912,0,9.267676,0.000000,0.000000,19.000000,31.000000,44.000000,112.000000
1554662927,3872,122,3.085944,0,8.827705,0.000000,0.000000,19.000000,31.000000,44.000000,112.000000
1554662937,4152,122,2.766743,0,8.190915,0.000000,0.000000,19.000000,31.000000,44.000000,67.000000
1554662947,4436,122,2.581211,0,7.859545,0.000000,0.000000,16.000000,31.000000,42.000000,56.000000
1554662957,4714,122,2.716074,0,8.629818,0.000000,0.000000,16.000000,31.000000,44.000000,83.000000
1554662967,4998,122,2.621981,0,8.941969,0.000000,0.000000,16.000000,31.000000,44.000000,111.000000
1554662977,5283,122,2.879228,0,10.433106,0.000000,0.000000,16.000000,31.000000,44.000000,122.000000
1554662987,5566,122,3.014232,0,10.854621,0.000000,0.000000,16.000000,31.000000,47.000000,122.000000
1554662997,5856,122,3.084048,0,9.872557,0.000000,0.000000,16.000000,33.000000,47.000000,122.000000
1554663007,6137,104,2.908945,0,8.455737,0.000000,0.000000,16.000000,31.000000,44.000000,104.000000
1554663017,6417,104,3.151795,0,9.616096,0.000000,0.000000,16.000000,33.000000,54.000000,104.000000
1554663027,6702,120,3.802994,0,11.493754,0.000000,0.000000,22.000000,33.000000,56.000000,120.000000
1554663037,6985,117,4.026371,0,12.231320,0.000000,0.000000,22.000000,42.000000,63.000000,117.000000
1554663047,7260,126,4.319272,0,13.522680,0.000000,0.000000,23.000000,44.000000,68.000000,126.000000
1554663057,7539,126,4.460654,0,13.211175,0.000000,0.000000,25.000000,47.000000,56.000000,126.000000
