t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554662797,2,416,312.384598,204,105.973174,416.000000,416.000000,416.000000,416.000000,416.000000,416.000000
1554662807,2,416,312.384598,204,105.973174,416.000000,416.000000,416.000000,416.000000,416.000000,416.000000
1554662817,4,646,325.565126,29,244.697155,416.000000,646.000000,646.000000,646.000000,646.000000,646.000000
1554662827,4,646,325.565126,29,244.697155,416.000000,646.000000,646.000000,646.000000,646.000000,646.000000
1554662837,4,646,325.565126,29,244.697155,416.000000,646.000000,646.000000,646.000000,646.000000,646.000000
1554662847,4,646,325.565126,29,244.697155,416.000000,646.000000,646.000000,646.000000,646.000000,646.000000
1554662857,4,646,325.565126,29,244.697155,416.000000,646.000000,646.000000,646.000000,646.000000,646.000000
1554662867,5,646,407.885623,29,224.337451,554.000000,554.000000,646.000000,646.000000,646.000000,646.000000
1554662877,5,646,407.885623,29,224.337451,554.000000,554.000000,646.000000,646.000000,646.000000,646.000000
1554662887,7,646,334.725679,29,176.071314,284.000000,554.000000,646.000000,646.000000,646.000000,646.000000
1554662897,8,646,316.186872,29,159.820071,249.000000,416.000000,646.000000,646.000000,646.000000,646.000000
1554662907,9,646,355.908244,29,163.380194,284.000000,514.000000,646.000000,646.000000,646.000000,646.000000
1554662917,9,646,355.908244,29,163.380194,284.000000,514.000000,646.000000,646.000000,646.000000,646.000000
1554662927,9,646,355.908244,29,163.380194,284.000000,514.000000,646.000000,646.000000,646.000000,646.000000
1554662937,10,891,496.119452,29,273.980512,514.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554662947,11,891,494.755895,29,241.548130,490.000000,554.000000,891.000000,891.000000,891.000000,891.000000
1554662957,12,891,435.541991,29,248.283691,490.000000,514.000000,891.000000,891.000000,891.000000,891.000000
1554662967,13,891,406.196410,29,230.139718,287.000000,514.000000,891.000000,891.000000,891.000000,891.000000
1554662977,14,969,505.002028,29,299.184729,490.000000,891.000000,969.000000,969.000000,969.000000,969.000000
1554662987,16,969,548.014346,29,290.965548,490.000000,883.000000,969.000000,969.000000,969.000000,969.000000
1554662997,16,969,548.014346,29,290.965548,490.000000,883.000000,969.000000,969.000000,969.000000,969.000000
1554663007,17,969,490.038496,29,296.250980,401.000000,883.000000,969.000000,969.000000,969.000000,969.000000
1554663017,18,969,412.814431,27,320.814118,287.000000,646.000000,969.000000,969.000000,969.000000,969.000000
1554663027,19,969,383.129500,27,298.929239,241.000000,490.000000,969.000000,969.000000,969.000000,969.000000
1554663037,20,974,472.427016,27,347.337365,287.000000,883.000000,974.000000,974.000000,974.000000,974.000000
1554663047,21,974,404.993368,27,353.368303,241.000000,883.000000,974.000000,974.000000,974.000000,974.000000
1554663057,22,974,481.816812,27,368.749999,287.000000,886.000000,974.000000,974.000000,974.000000,974.000000
