t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554662401,170,113,5.162732,0,15.400822,0.000000,0.000000,39.000000,65.000000,78.000000,113.000000
1554662411,448,113,4.296831,0,13.605420,0.000000,0.000000,25.000000,56.000000,78.000000,113.000000
1554662421,739,113,3.416343,0,11.420421,0.000000,0.000000,22.000000,40.000000,65.000000,113.000000
1554662431,1020,113,3.455077,0,11.951142,0.000000,0.000000,22.000000,40.000000,65.000000,112.000000
1554662441,1300,113,3.249783,0,11.352693,0.000000,0.000000,22.000000,33.000000,57.000000,112.000000
1554662451,1581,113,3.244555,0,10.347818,0.000000,0.000000,22.000000,31.000000,40.000000,112.000000
1554662461,1860,112,3.041619,0,8.804604,0.000000,0.000000,22.000000,31.000000,33.000000,102.000000
1554662471,2141,112,3.160306,0,9.145999,0.000000,0.000000,22.000000,31.000000,34.000000,102.000000
1554662481,2422,102,3.149177,0,8.770599,0.000000,0.000000,23.000000,31.000000,34.000000,73.000000
1554662491,2709,133,4.293681,0,13.148459,0.000000,0.000000,31.000000,39.000000,56.000000,133.000000
1554662501,2985,133,4.065800,0,12.788304,0.000000,0.000000,27.000000,39.000000,67.000000,133.000000
1554662511,3267,133,4.130395,0,13.383914,0.000000,0.000000,25.000000,40.000000,72.000000,133.000000
1554662521,3545,111,3.333492,0,9.493540,0.000000,0.000000,22.000000,31.000000,39.000000,111.000000
1554662531,3827,111,3.296147,0,9.032330,0.000000,0.000000,22.000000,31.000000,33.000000,111.000000
1554662541,4111,135,3.246866,0,10.141982,0.000000,0.000000,22.000000,31.000000,32.000000,135.000000
1554662551,4388,135,3.436023,0,10.868826,0.000000,0.000000,22.000000,31.000000,44.000000,135.000000
1554662561,4678,135,3.134354,0,10.061918,0.000000,0.000000,22.000000,31.000000,44.000000,135.000000
1554662571,4959,135,3.088786,0,10.077501,0.000000,0.000000,22.000000,31.000000,44.000000,135.000000
1554662581,5233,135,4.213824,0,14.788855,0.000000,0.000000,22.000000,44.000000,111.000000,135.000000
1554662591,5511,135,4.725641,0,15.322802,0.000000,0.000000,22.000000,40.000000,111.000000,133.000000
1554662601,5790,135,5.262467,0,15.188215,0.000000,0.000000,31.000000,54.000000,100.000000,133.000000
1554662611,6075,135,4.963874,0,13.895248,0.000000,0.000000,25.000000,47.000000,71.000000,133.000000
1554662621,6349,135,4.366133,0,13.032112,0.000000,0.000000,22.000000,39.000000,68.000000,133.000000
1554662631,6621,209,4.714945,0,14.408564,0.000000,0.000000,22.000000,35.000000,63.000000,209.000000
