t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554662401,174,83,35.774884,14,11.571433,33.000000,34.000000,65.000000,67.000000,76.000000,83.000000
1554662411,454,83,35.709564,8,11.141466,33.000000,34.000000,66.000000,67.000000,68.000000,83.000000
1554662421,744,83,35.086843,8,9.902701,33.000000,34.000000,64.000000,67.000000,67.000000,83.000000
1554662431,1025,83,35.230028,8,10.019339,33.000000,34.000000,65.000000,67.000000,67.000000,83.000000
1554662441,1306,83,35.270964,3,10.013791,33.000000,34.000000,66.000000,67.000000,67.000000,83.000000
1554662451,1586,83,35.087986,3,9.534717,33.000000,34.000000,53.000000,67.000000,67.000000,78.000000
1554662461,1865,83,35.122152,2,9.344069,33.000000,34.000000,64.000000,67.000000,67.000000,78.000000
1554662471,2147,83,35.479573,2,9.486828,33.000000,34.000000,66.000000,67.000000,67.000000,78.000000
1554662481,2427,100,35.680045,2,9.678399,33.000000,34.000000,66.000000,67.000000,67.000000,100.000000
1554662491,2713,100,35.412227,2,9.425213,33.000000,34.000000,66.000000,67.000000,67.000000,100.000000
1554662501,2991,100,35.785633,2,9.828690,33.000000,34.000000,66.000000,67.000000,67.000000,100.000000
1554662511,3271,86,35.663120,1,9.974043,33.000000,34.000000,66.000000,67.000000,68.000000,86.000000
1554662521,3550,86,35.844820,1,10.266597,33.000000,34.000000,66.000000,67.000000,67.000000,86.000000
1554662531,3833,86,35.856470,1,10.423490,33.000000,34.000000,66.000000,67.000000,67.000000,86.000000
1554662541,4116,89,35.488770,1,10.451139,33.000000,34.000000,66.000000,67.000000,67.000000,89.000000
1554662551,4394,100,35.461809,1,10.844984,33.000000,34.000000,66.000000,67.000000,68.000000,100.000000
1554662561,4684,100,35.406573,1,10.997147,33.000000,34.000000,63.000000,67.000000,68.000000,100.000000
1554662571,4967,100,35.575679,1,10.973335,33.000000,34.000000,60.000000,67.000000,68.000000,100.000000
1554662581,5243,100,35.484584,1,11.537095,33.000000,34.000000,66.000000,67.000000,67.000000,100.000000
1554662591,5522,112,35.732451,1,12.270377,33.000000,34.000000,66.000000,67.000000,71.000000,112.000000
1554662601,5803,112,35.720799,1,12.440398,33.000000,34.000000,66.000000,67.000000,71.000000,112.000000
1554662611,6088,112,35.818966,1,12.421428,33.000000,36.000000,66.000000,67.000000,68.000000,112.000000
1554662621,6364,112,36.006887,1,12.515466,33.000000,40.000000,66.000000,67.000000,68.000000,112.000000
1554662631,6635,86,36.248343,1,13.289699,33.000000,45.000000,66.000000,67.000000,83.000000,85.000000
