t,count
1554677353,124
1554677363,272
1554677373,394
1554677383,566
1554677393,712
1554677403,886
1554677413,1077
1554677423,1216
1554677433,1416
1554677443,1530
1554677453,1670
1554677463,1825
1554677473,1995
1554677483,2203
1554677493,2306
1554677503,2449
1554677513,2552
1554677523,2654
1554677533,2831
1554677543,2994
1554677553,3181
1554677563,3343
1554677573,3450
1554677583,3644
1554677593,3828
1554677603,4004
1554677613,4203
1554677623,4381
1554677633,4541
1554677643,4695
1554677653,4878
1554677663,5028
1554677673,5215
1554677683,5353
1554677693,5541
1554677703,5755
1554677713,5929
1554677723,6092
