t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554677353,106,966,66.353193,11,132.804418,33.000000,42.000000,132.000000,549.000000,741.000000,966.000000
1554677363,267,966,58.012895,11,105.925801,33.000000,37.000000,83.000000,533.000000,549.000000,966.000000
1554677373,415,966,57.093529,11,103.354306,33.000000,35.000000,82.000000,531.000000,549.000000,966.000000
1554677383,613,966,52.511850,11,91.308782,33.000000,34.000000,67.000000,400.000000,548.000000,966.000000
1554677393,765,966,54.062023,11,95.846415,33.000000,34.000000,67.000000,433.000000,549.000000,815.000000
1554677403,943,966,52.798893,11,93.064222,33.000000,34.000000,67.000000,400.000000,549.000000,933.000000
1554677413,1126,966,51.575889,11,87.352556,33.000000,34.000000,67.000000,400.000000,546.000000,933.000000
1554677423,1254,966,53.974976,11,98.859372,33.000000,34.000000,67.000000,401.000000,550.000000,966.000000
1554677433,1443,966,53.493036,11,95.305256,33.000000,34.000000,67.000000,416.000000,550.000000,966.000000
1554677443,1557,966,54.608902,11,100.196131,33.000000,34.000000,67.000000,417.000000,568.000000,966.000000
1554677453,1717,966,52.865242,9,92.261056,33.000000,34.000000,71.000000,416.000000,550.000000,933.000000
1554677463,1864,966,52.671038,9,93.275809,33.000000,34.000000,67.000000,400.000000,550.000000,933.000000
1554677473,2037,966,54.361524,9,96.715184,33.000000,34.000000,72.000000,416.000000,550.000000,933.000000
1554677483,2241,966,54.768292,9,101.266376,33.000000,34.000000,72.000000,417.000000,744.000000,933.000000
1554677493,2337,966,53.744200,6,95.351731,33.000000,34.000000,71.000000,495.000000,549.000000,816.000000
1554677503,2481,966,54.224269,6,98.493266,33.000000,34.000000,71.000000,417.000000,550.000000,934.000000
1554677513,2598,966,55.699449,6,97.207463,33.000000,37.000000,83.000000,452.000000,542.000000,934.000000
1554677523,2701,966,61.970824,1,113.981729,33.000000,41.000000,234.000000,533.000000,734.000000,934.000000
1554677533,2874,966,59.245411,1,110.212794,33.000000,38.000000,83.000000,532.000000,734.000000,934.000000
1554677543,3027,992,58.239735,1,108.763461,33.000000,36.000000,83.000000,517.000000,733.000000,992.000000
1554677553,3222,992,51.393118,1,89.130833,33.000000,40.000000,67.000000,400.000000,534.000000,992.000000
1554677563,3382,992,52.830089,1,94.836337,33.000000,42.000000,67.000000,400.000000,534.000000,992.000000
1554677573,3492,992,56.692044,1,105.812435,33.000000,44.000000,83.000000,420.000000,733.000000,992.000000
1554677583,3672,992,57.072326,1,110.158330,33.000000,47.000000,83.000000,420.000000,766.000000,948.000000
1554677593,3847,948,53.763339,1,94.751562,33.000000,49.000000,83.000000,400.000000,534.000000,948.000000
1554677603,4022,948,53.208123,1,93.642701,33.000000,49.000000,75.000000,400.000000,533.000000,948.000000
1554677613,4220,948,53.538095,1,93.244927,33.000000,50.000000,83.000000,400.000000,534.000000,934.000000
1554677623,4393,934,51.092728,3,87.113172,33.000000,50.000000,67.000000,399.000000,533.000000,833.000000
1554677633,4545,934,53.578309,3,90.940408,34.000000,50.000000,67.000000,400.000000,533.000000,833.000000
1554677643,4700,934,55.172931,3,92.552987,34.000000,50.000000,68.000000,401.000000,533.000000,833.000000
1554677653,4886,934,53.649118,1,90.738445,34.000000,50.000000,68.000000,400.000000,533.000000,833.000000
1554677663,5044,934,55.233205,1,93.740052,34.000000,50.000000,83.000000,416.000000,533.000000,833.000000
1554677673,5222,934,56.838936,1,97.764087,34.000000,50.000000,83.000000,430.000000,533.000000,833.000000
1554677683,5353,934,58.491945,1,101.928647,34.000000,50.000000,83.000000,430.000000,733.000000,833.000000
1554677693,5536,934,60.097246,1,104.697009,34.000000,50.000000,101.000000,477.000000,733.000000,816.000000
1554677703,5750,833,57.587490,1,95.947695,34.000000,50.000000,84.000000,416.000000,533.000000,816.000000
1554677713,5922,917,57.796679,1,99.535354,34.000000,50.000000,84.000000,401.000000,733.000000,917.000000
1554677723,6093,917,56.924853,1,96.979716,34.000000,50.000000,83.000000,416.000000,699.000000,917.000000
