t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554677353,2,507,412.930349,323,91.976717,323.000000,507.000000,507.000000,507.000000,507.000000,507.000000
1554677363,3,507,393.286927,323,79.203491,356.000000,507.000000,507.000000,507.000000,507.000000,507.000000
1554677373,3,507,393.286927,323,79.203491,356.000000,507.000000,507.000000,507.000000,507.000000,507.000000
1554677383,3,507,393.286927,323,79.203491,356.000000,507.000000,507.000000,507.000000,507.000000,507.000000
1554677393,4,616,473.016634,323,124.207310,507.000000,616.000000,616.000000,616.000000,616.000000,616.000000
1554677403,4,616,473.016634,323,124.207310,507.000000,616.000000,616.000000,616.000000,616.000000,616.000000
1554677413,4,616,473.016634,323,124.207310,507.000000,616.000000,616.000000,616.000000,616.000000,616.000000
1554677423,5,616,324.358470,75,216.181669,323.000000,507.000000,616.000000,616.000000,616.000000,616.000000
1554677433,5,616,324.358470,75,216.181669,323.000000,507.000000,616.000000,616.000000,616.000000,616.000000
1554677443,6,616,252.621314,75,204.692581,106.000000,356.000000,616.000000,616.000000,616.000000,616.000000
1554677453,6,616,252.621314,75,204.692581,106.000000,356.000000,616.000000,616.000000,616.000000,616.000000
1554677463,6,616,252.621314,75,204.692581,106.000000,356.000000,616.000000,616.000000,616.000000,616.000000
1554677473,6,616,252.621314,75,204.692581,106.000000,356.000000,616.000000,616.000000,616.000000,616.000000
1554677483,6,616,252.621314,75,204.692581,106.000000,356.000000,616.000000,616.000000,616.000000,616.000000
1554677493,6,616,252.621314,75,204.692581,106.000000,356.000000,616.000000,616.000000,616.000000,616.000000
1554677503,6,616,252.621314,75,204.692581,106.000000,356.000000,616.000000,616.000000,616.000000,616.000000
1554677513,7,709,482.165032,75,269.988382,709.000000,709.000000,709.000000,709.000000,709.000000,709.000000
1554677523,9,758,510.740473,75,244.824947,616.000000,758.000000,758.000000,758.000000,758.000000,758.000000
1554677533,9,758,510.740473,75,244.824947,616.000000,758.000000,758.000000,758.000000,758.000000,758.000000
1554677543,9,758,510.740473,75,244.824947,616.000000,758.000000,758.000000,758.000000,758.000000,758.000000
1554677553,10,801,596.352009,75,244.500524,709.000000,801.000000,801.000000,801.000000,801.000000,801.000000
1554677563,10,801,596.352009,75,244.500524,709.000000,801.000000,801.000000,801.000000,801.000000,801.000000
1554677573,11,898,684.105242,75,247.304577,801.000000,898.000000,898.000000,898.000000,898.000000,898.000000
1554677583,11,898,684.105242,75,247.304577,801.000000,898.000000,898.000000,898.000000,898.000000,898.000000
1554677593,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677603,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677613,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677623,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677633,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677643,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677653,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677663,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677673,12,898,583.850884,75,272.432155,709.000000,801.000000,898.000000,898.000000,898.000000,898.000000
1554677683,13,898,736.832643,75,236.183799,873.000000,873.000000,898.000000,898.000000,898.000000,898.000000
1554677693,13,898,736.832643,75,236.183799,873.000000,873.000000,898.000000,898.000000,898.000000,898.000000
1554677703,13,898,736.832643,75,236.183799,873.000000,873.000000,898.000000,898.000000,898.000000,898.000000
1554677713,13,898,736.832643,75,236.183799,873.000000,873.000000,898.000000,898.000000,898.000000,898.000000
1554677723,13,898,736.832643,75,236.183799,873.000000,873.000000,898.000000,898.000000,898.000000,898.000000
