t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554662797,7,967,582.926120,19,272.726989,517.000000,800.000000,967.000000,967.000000,967.000000,967.000000
1554662807,12,1000,556.181963,19,300.131076,517.000000,694.000000,1000.000000,1000.000000,1000.000000,1000.000000
1554662817,16,1000,449.868717,19,309.539975,516.000000,683.000000,1000.000000,1000.000000,1000.000000,1000.000000
1554662827,20,1000,396.025581,15,304.905426,420.000000,616.000000,967.000000,1000.000000,1000.000000,1000.000000
1554662837,25,1000,366.862730,6,298.777444,367.000000,599.000000,967.000000,1000.000000,1000.000000,1000.000000
1554662847,29,1000,401.161342,6,316.670745,420.000000,616.000000,982.000000,1000.000000,1000.000000,1000.000000
1554662857,31,1000,368.273235,6,314.849982,367.000000,610.000000,982.000000,1000.000000,1000.000000,1000.000000
1554662867,40,1000,460.552515,6,298.595712,510.000000,616.000000,982.000000,982.000000,1000.000000,1000.000000
1554662877,45,1000,491.131692,6,280.313714,523.000000,616.000000,982.000000,982.000000,1000.000000,1000.000000
1554662887,50,1000,454.830180,6,292.640641,516.000000,610.000000,982.000000,982.000000,1000.000000,1000.000000
1554662897,56,1000,431.472710,6,288.928818,516.000000,600.000000,967.000000,982.000000,982.000000,1000.000000
1554662907,62,1000,411.580678,6,295.317250,509.000000,616.000000,801.000000,982.000000,982.000000,1000.000000
1554662917,65,1000,403.099441,6,300.616789,503.000000,666.000000,801.000000,982.000000,982.000000,1000.000000
1554662927,67,1000,380.944998,6,301.597416,500.000000,600.000000,801.000000,982.000000,982.000000,1000.000000
1554662937,77,1000,374.105426,6,287.526460,500.000000,566.000000,800.000000,982.000000,982.000000,1000.000000
1554662947,80,1000,363.091284,6,287.576611,500.000000,599.000000,800.000000,967.000000,982.000000,1000.000000
1554662957,88,1000,358.026767,6,269.142370,500.000000,533.000000,800.000000,801.000000,982.000000,1000.000000
1554662967,98,1000,379.670955,6,281.871184,500.000000,566.000000,800.000000,884.000000,982.000000,1000.000000
1554662977,102,1000,422.177285,6,301.386432,510.000000,659.000000,884.000000,993.000000,993.000000,1000.000000
1554662987,105,1000,435.959700,6,293.749270,517.000000,659.000000,884.000000,993.000000,993.000000,1000.000000
1554662997,108,1000,449.552801,6,295.657836,523.000000,667.000000,884.000000,993.000000,993.000000,1000.000000
1554663007,111,1000,410.845622,6,306.700940,510.000000,666.000000,873.000000,993.000000,993.000000,1000.000000
1554663017,119,1000,387.156626,6,290.801281,484.000000,566.000000,873.000000,982.000000,993.000000,1000.000000
1554663027,121,1000,371.646254,6,289.105184,373.000000,550.000000,816.000000,982.000000,993.000000,1000.000000
1554663037,123,1000,363.849822,6,287.300529,373.000000,534.000000,816.000000,967.000000,993.000000,993.000000
1554663047,126,1000,366.821973,6,295.683675,285.000000,534.000000,888.000000,888.000000,993.000000,993.000000
1554663057,128,1000,365.964761,6,298.050797,285.000000,599.000000,884.000000,888.000000,993.000000,993.000000
