t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554662401,200,142,36.048490,4,14.703707,33.000000,34.000000,67.000000,74.000000,92.000000,142.000000
1554662411,486,142,35.320965,4,11.581467,33.000000,34.000000,65.000000,67.000000,70.000000,142.000000
1554662421,773,142,35.100950,4,11.098634,33.000000,34.000000,60.000000,67.000000,70.000000,142.000000
1554662431,1047,142,35.531088,4,11.657344,33.000000,34.000000,66.000000,67.000000,74.000000,100.000000
1554662441,1320,100,35.799312,4,11.325850,33.000000,34.000000,66.000000,67.000000,74.000000,100.000000
1554662451,1596,100,35.867131,12,10.604068,33.000000,34.000000,66.000000,67.000000,67.000000,94.000000
1554662461,1879,100,35.755172,12,10.294586,33.000000,34.000000,66.000000,67.000000,67.000000,95.000000
1554662471,2158,95,35.510298,6,10.190638,33.000000,34.000000,61.000000,67.000000,67.000000,95.000000
1554662481,2433,95,35.899149,12,10.312804,33.000000,34.000000,66.000000,67.000000,67.000000,95.000000
1554662491,2715,95,36.040330,8,10.287924,33.000000,34.000000,66.000000,67.000000,67.000000,94.000000
1554662501,2993,95,36.138078,12,10.194348,33.000000,34.000000,66.000000,67.000000,67.000000,92.000000
1554662511,3275,100,35.939843,2,10.112185,33.000000,34.000000,61.000000,67.000000,67.000000,100.000000
1554662521,3553,100,35.723265,2,10.329697,33.000000,34.000000,66.000000,67.000000,67.000000,100.000000
1554662531,3834,100,35.964851,2,10.533522,33.000000,34.000000,66.000000,67.000000,67.000000,100.000000
1554662541,4108,100,36.205737,2,11.042111,33.000000,34.000000,66.000000,67.000000,67.000000,100.000000
1554662551,4390,100,36.552132,2,11.363678,33.000000,34.000000,66.000000,67.000000,68.000000,92.000000
1554662561,4666,100,36.794318,2,11.966839,33.000000,34.000000,67.000000,67.000000,71.000000,100.000000
1554662571,4952,100,36.349592,2,11.448023,33.000000,34.000000,66.000000,67.000000,68.000000,100.000000
1554662581,5238,100,35.699146,6,11.299518,33.000000,34.000000,55.000000,67.000000,67.000000,100.000000
1554662591,5509,100,35.991976,5,12.722771,33.000000,34.000000,66.000000,67.000000,69.000000,100.000000
1554662601,5797,100,35.245313,4,12.075655,33.000000,34.000000,58.000000,67.000000,67.000000,92.000000
1554662611,6056,102,35.974432,4,12.972937,33.000000,41.000000,66.000000,67.000000,81.000000,102.000000
1554662621,6332,102,36.177355,4,13.652243,33.000000,42.000000,66.000000,67.000000,83.000000,102.000000
1554662631,6588,102,36.913980,3,14.320080,33.000000,49.000000,66.000000,67.000000,83.000000,102.000000
