t,count
1554674942,8
1554674952,15
1554674962,24
1554674972,34
1554674982,43
1554674992,52
1554675002,61
1554675012,70
1554675022,79
1554675032,89
1554675042,99
1554675052,109
1554675062,119
1554675072,129
1554675082,138
1554675092,148
1554675102,158
1554675112,167
1554675122,177
1554675132,187
1554675142,196
1554675152,205
1554675162,215
1554675172,225
1554675182,235
1554675192,244
1554675202,254
1554675212,264
1554675222,274
1554675232,284
1554675242,294
1554675252,304
1554675262,312
1554675273,323
1554675282,329
1554675670,8
1554675680,18
1554675690,28
1554675700,38
1554675710,48
1554675720,58
1554675730,68
1554675740,78
1554675750,88
1554675760,98
1554675770,108
1554675780,118
1554675790,128
1554675800,138
1554675810,148
1554675820,158
1554675830,168
1554675840,177
1554675850,186
1554675860,196
1554675870,206
1554675880,216
1554675890,225
1554675900,235
1554675910,244
1554675920,254
1554675930,264
1554675940,274
