t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554674942,109,966,60.422024,15,121.896694,33.000000,34.000000,93.000000,499.000000,650.000000,966.000000
1554674952,245,966,58.573004,11,110.997607,33.000000,35.000000,90.000000,499.000000,650.000000,966.000000
1554674962,404,966,57.142136,7,104.749014,33.000000,36.000000,68.000000,499.000000,532.000000,966.000000
1554674972,559,966,55.636330,7,103.171759,33.000000,35.000000,68.000000,494.000000,650.000000,966.000000
1554674982,720,966,55.714348,7,104.666949,33.000000,36.000000,67.000000,499.000000,650.000000,966.000000
1554674992,887,966,53.779849,7,100.795021,33.000000,35.000000,67.000000,449.000000,532.000000,916.000000
1554675002,1108,916,49.851604,7,86.876345,33.000000,34.000000,67.000000,416.000000,515.000000,916.000000
1554675012,1237,966,51.350672,7,96.282475,33.000000,34.000000,67.000000,417.000000,517.000000,966.000000
1554675022,1407,966,52.371930,7,98.054354,33.000000,34.000000,67.000000,417.000000,517.000000,966.000000
1554675032,1553,966,51.683129,7,95.723973,33.000000,34.000000,67.000000,476.000000,538.000000,966.000000
1554675042,1639,966,52.323713,7,97.645650,33.000000,34.000000,67.000000,499.000000,565.000000,916.000000
1554675052,1763,966,51.826395,7,95.932792,33.000000,34.000000,67.000000,434.000000,538.000000,916.000000
1554675062,1953,916,52.963116,10,96.336878,33.000000,34.000000,67.000000,466.000000,534.000000,900.000000
1554675072,2148,900,51.738067,10,92.310940,33.000000,34.000000,67.000000,417.000000,517.000000,900.000000
1554675082,2252,933,54.309700,10,103.088528,33.000000,34.000000,67.000000,478.000000,562.000000,933.000000
1554675092,2426,933,52.348569,10,96.195638,33.000000,34.000000,67.000000,444.000000,549.000000,933.000000
1554675102,2524,950,53.322438,10,99.842844,33.000000,34.000000,67.000000,463.000000,549.000000,950.000000
1554675112,2634,950,60.981105,10,116.513176,33.000000,34.000000,218.000000,516.000000,733.000000,950.000000
1554675122,2781,950,59.360026,2,113.628653,33.000000,34.000000,83.000000,500.000000,734.000000,950.000000
1554675132,2946,950,57.832921,2,109.220294,33.000000,35.000000,83.000000,500.000000,700.000000,950.000000
1554675142,3095,950,55.306512,2,99.268899,33.000000,42.000000,81.000000,463.000000,550.000000,840.000000
1554675152,3259,950,54.418332,2,100.575971,33.000000,37.000000,71.000000,417.000000,700.000000,933.000000
1554675162,3341,950,53.411948,1,97.404873,33.000000,38.000000,67.000000,417.000000,650.000000,933.000000
1554675172,3519,950,52.975730,1,95.647166,33.000000,48.000000,68.000000,415.000000,700.000000,933.000000
1554675182,3695,950,52.957098,1,93.353969,33.000000,49.000000,67.000000,416.000000,650.000000,933.000000
